QUERY;CIRCE;SEMANTIC;OVERLAP
produzione pasta frescaa;['10.73.0'];['10.32.0', '10.85.0', '17.11.0', '10.11.0', '28.95.0', '10.31.0', '10.73.0', '10.71.2', '10.81.0'];1
consulenze non altrove classificate;['n.c.   '];['85.59.9', '74.90.2', '47.73.2', '96.09.0', '88.99.0', '74.90.9', '64.92.0', '82.99.9', '46.90.0', '79.90.1'];0
produzione artigianale cappelli;['14.19.1'];['27.40.0', '13.99.9', '27.90.0', '32.99.3', '10.11.0', '14.20.0', '32.20.0', '17.12.0', '32.40.2', '14.19.1'];1
installatori a bordo di navi da crociera;['50.10.0', '30.11.0'];['30.12.0', '43.29.0', '33.15.0', '30.11.0', '45.20.3', '38.31.2', '43.21.0', '33.20.0'];1
altre attivita' profess;['n.c.   '];['74.90.2', '90.02.0', '74.20.1', '94.12.2', '85.60.0', '74.90.9', '58.19.0', '74.10.2', '74.10.9', '93.19.9'];0
associazione del terzo settore;['n.c.   '];['94.99.2', '94.99.9', '70.21.0', '68.31.0', '94.11.0', '94.99.6', '94.12.2', '66.19.3', '02.40.0', '82.99.9'];0
societa d igegneria;['n.c.   ', '41.20.0'];['30.92.1', '28.12.0', '12.00.0', '52.21.1', '47.11.1', '71.12.2', '42.91.0', '71.12.1', '25.73.1', '26.52.0'];0
altre attivita di installazione;['n.c.   '];['74.20.1', '45.20.9', '81.22.0', '81.29.9', '43.29.0', '58.19.0', '43.21.0', '74.10.9', '33.20.0'];0
scuola elementare privata;['85.20.0'];['85.53.0', '85.51.0', '85.52.0', '80.30.0', '85.31.1', '85.20.0', '80.10.0', '85.59.3', '85.10.0', '85.60.0'];1
commercio all ingrosso di prodotti;['46.90.0'];['46.46.1', '46.42.1', '46.75.0', '46.43.1', '46.73.2', '46.35.0', '46.38.9', '46.41.1', '46.76.3'];0
consulenza su lavori edili;['41.20.0', '43.39.0'];['62.02.0', '69.10.1', '74.90.2', '43.91.0', '71.11.0', '66.19.2', '74.90.3', '90.03.0'];0
produzione e fabbricazione di articoli di cartoleria e per uffici;['47.62.2', '46.49.1'];['47.62.2', '17.21.0', '32.99.3', '46.49.1', '25.71.0', '28.95.0', '17.23.0', '31.01.1', '17.12.0', '17.29.0'];1
riparazione e manutenzione di computer e periferiche, progettazione di sistemi informatici e consulenza in genere su software e hardware, recupero di dati da computer danneggiati;['62.09.0'];['62.02.0', '45.20.2', '95.11.0', '95.12.0', '95.22.0', '33.11.0', '71.12.2', '33.13.0', '33.12.5'];0
cosulenza alle imprese;['70.22.0'];['73.11.0', '74.90.2', '82.99.1', '82.19.0', '70.22.0', '68.20.0', '02.40.0', '64.92.0', '82.99.9'];1
procacciatura d affari prodotti energetici;['71.20.2'];['46.16.0', '46.13.0', '46.18.1', '46.15.0', '46.12.0', '46.18.2', '46.18.9', '46.17.0', '46.18.3', '66.19.2'];0
entrate ai musei;['91.02.0'];['63.11.1', '85.52.0', '91.02.0', '47.19.1', '43.12.0', '64.19.1', '46.73.2', '91.03.0', '56.29.1', '47.78.3'];1
vendita dettaglio accessori abbigliamento;['47.71.5'];['45.32.0', '47.51.1', '46.42.1', '47.72.1', '47.79.3', '47.71.5', '47.64.2', '47.71.1', '47.78.3'];1
attivita di orientamento e collocamento lavorativo;['78.10.0'];['78.10.0', '69.10.1', '64.99.1', '09.10.0', '68.31.0', '66.19.2', '88.99.0', '90.03.0', '74.90.9', '79.90.1'];1
vendita ingrosso software;['46.51.0'];['46.74.1', '46.65.0', '46.66.0', '46.69.2', '46.73.3', '47.41.0', '46.73.2', '46.69.9', '46.41.1', '46.51.0'];1
commercio al dettaglio di cialde;['47.99.1'];['47.52.1', '47.52.4', '47.51.1', '47.59.3', '47.25.0', '47.52.3', '47.11.5', '47.26.0', '47.78.3'];0
commercio all'ingrosso di caff;['46.37.0'];['46.33.1', '46.37.0', '46.73.2', '46.34.1', '47.25.0', '47.29.2', '46.35.0', '46.76.3'];1
fabbrica tende da sole;['25.12.2'];['27.40.0', '27.90.0', '32.99.1', '43.91.0', '47.53.1', '27.11.0', '25.73.1', '26.11.0', '13.92.1', '25.12.2'];1
azienda agricola vendita e degustazione di prodotti;['46.31.1'];['01.27.0', '47.52.4', '73.11.0', '10.32.0', '46.14.0', '01.61.0', '56.10.1', '77.31.0', '10.92.0', '23.41.0'];0
produzione di stampi in gesso;['23.69.0'];['23.52.2', '23.62.0', '26.20.0', '20.30.0', '28.41.0', '24.43.0', '25.73.1', '26.11.0', '25.73.2', '28.94.1'];0
affitto sala feste;['n.c.   '];['93.29.9', '90.02.0', '96.09.0', '77.39.9', '77.29.1', '68.20.0', '77.21.0', '56.21.0', '96.03.0', '43.21.0'];0
finalita di culto;['94.91.0'];['85.59.9', '01.27.0', '70.21.0', '94.91.0', '01.63.0', '35.14.0', '96.03.0', '94.99.2', '36.00.0', '93.19.9'];1
servizi ai condomini;['97.00.0'];['82.11.0', '68.32.0', '81.10.0', '81.29.1', '75.00.0', '49.42.0', '80.20.0', '53.20.0', '97.00.0', '79.90.1'];1
rilievi e progettazione;['n.c.   '];['43.33.0', '71.12.3', '82.30.0', '73.11.0', '43.91.0', '25.61.0', '42.13.0', '43.13.0', '42.12.0', '30.11.0'];0
attivita di gestione patrimoniale in partita iva con l affiancamento di una banca consulenti finanziari;['69.20.1'];['69.10.1', '70.22.0', '69.20.1', '68.31.0', '66.19.2', '88.99.0', '66.19.1'];1
studi di fattibilita;['n.c.   '];['78.10.0', '69.10.1', '73.11.0', '43.91.0', '71.20.1', '41.10.0', '30.30.0', '71.11.0', '71.12.1', '72.19.0'];0
riparazione e manutenzione di condizionatori caldaie;['43.22.0', '33.12.2'];['33.12.1', '45.20.1', '95.11.0', '33.14.0', '33.12.2', '95.22.0', '33.11.0', '33.12.4', '45.20.3', '33.12.5'];1
formatore educatore olistico;['96.04.1'];['85.59.9', '85.60.0', '85.51.0', '84.12.2', '85.52.0', '86.23.0', '01.26.0', '96.02.0', '85.59.2'];0
costruzione e manutenzione impianti industriali siderurgia oil gas petrolchimico;['28.29.2'];['33.12.9', '43.22.0', '28.29.2', '24.10.0', '20.11.0', '30.11.0', '19.20.2', '20.41.2', '25.11.0', '33.12.5'];1
corsi di produzione;['85.59.9', '85.52.0', '85.59.2', '85.51.0'];['85.59.9', '85.51.0', '85.52.0', '23.91.0', '20.53.0', '26.11.0', '32.20.0', '28.99.9', '85.59.2'];1
consorzio per la pubblica lettura;['n.c.   '];['85.59.9', '58.11.0', '58.19.0', '64.92.0', '95.29.0', '70.21.0', '82.99.2', '47.79.1', '82.99.9', '91.01.0'];0
centro elaborazione dati;['63.11.1'];['63.11.2', '82.19.0', '26.20.0', '86.22.0', '87.20.0', '87.10.0', '63.11.1', '38.12.0', '86.90.1'];1
educazione istruzione formazione professionale;['85.32.0', '85.59.2'];['85.59.9', '85.41.0', '85.51.0', '84.12.2', '85.32.0', '85.42.0', '85.20.0', '85.60.0', '85.59.2'];1
studi di registrazione;['59.20.3'];['69.10.1', '59.20.1', '95.29.0', '26.40.0', '71.11.0', '74.20.2', '32.20.0', '59.20.3', '18.20.0', '86.90.1'];1
commercio all'ingrosso di nfrutta;['46.39.2', '46.69.9', '46.90.0'];['46.42.1', '46.69.1', '47.21.0', '46.73.2', '46.35.0', '46.31.1', '46.31.2', '46.76.3', '46.21.2'];0
procacciattore d affari;['84.21.0'];['46.16.0', '46.13.0', '46.18.1', '46.15.0', '46.14.0', '46.12.0', '46.18.9', '46.17.0', '46.18.3', '66.19.2'];0
costruzione e manutenzione impianti industriali siderurgia petrolchimico;['28.29.2'];['33.12.9', '28.29.2', '33.11.0', '24.10.0', '20.11.0', '30.11.0', '19.20.2', '20.41.2', '25.11.0', '33.12.5'];1
associazione culturale e turistica del territorio;['94.99.2'];['55.20.1', '79.90.2', '84.12.4', '70.21.0', '94.11.0', '94.99.6', '94.12.2', '79.12.0', '94.99.2', '79.90.1'];1
commercio pezzi di ricambio;['46.69.9'];['47.54.0', '33.12.9', '46.52.0', '46.73.2', '47.79.3', '45.31.0', '25.73.1', '45.40.2', '45.32.0', '47.79.2'];0
consulenza informatica su sistemi gis;['62.02.0'];['62.02.0', '81.10.0', '74.90.2', '70.22.0', '66.19.2', '74.90.3', '74.90.9', '85.59.2'];1
comune di branzi;['84.11.1'];['46.73.1', '01.45.0', '85.52.0', '42.21.0', '20.14.0', '01.49.9', '96.09.0', '64.19.1', '10.51.2', '46.21.2'];0
organizzazione di eventi privati feste cerimonie matrimoni;['96.09.0'];['14.13.2', '90.02.0', '80.30.0', '96.09.0', '77.39.9', '80.10.0', '93.19.1', '56.21.0', '93.29.9', '82.30.0'];1
commercio all ingrosso di abbigliamento e accessori;['46.42.1'];['46.45.0', '46.42.1', '46.43.1', '47.72.1', '47.79.3', '46.41.1', '45.31.0', '47.71.1', '46.42.4', '46.46.3'];1
commercio ricambi motocicli;['45.40.2'];['30.91.1', '30.91.2', '47.64.1', '45.31.0', '45.40.1', '45.40.2', '45.32.0'];1
montaggio tettoie in legno;['25.11.0'];['02.20.0', '33.19.0', '16.10.0', '43.91.0', '16.24.0', '16.21.0', '41.20.0', '16.23.2', '43.21.0', '33.20.0'];0
fabbricazione stampi sagome per incisione;['25.73.2'];['28.23.0', '28.94.1', '33.11.0', '26.20.0', '24.41.0', '25.73.1', '26.11.0', '25.73.2', '17.29.0', '24.43.0'];1
vendor inspection expediting;['52.29.1'];['85.59.9', '33.12.1', '33.19.0', '73.11.0', '71.20.2', '46.52.0', '95.29.0', '69.20.2', '82.99.4', '46.73.2'];0
commercio al dettaglio prodotti per estetisti;['96.02.0'];['47.52.1', '47.51.1', '47.73.1', '47.59.3', '47.78.6', '47.71.1', '47.52.2', '47.29.3', '47.78.3'];0
manutenzione macchine da ufficio;['33.12.5'];['33.12.9', '33.12.1', '95.11.0', '33.11.0', '81.22.0', '33.12.7', '33.12.5'];1
la fornitura dei servizi nei settori contabilitamministrazione, finanza, gestione delle risorse umane, informatica, organizzazione tecnica e della produzione;['78.30.0'];['82.11.0', '81.10.0', '71.12.2', '70.22.0', '69.20.1', '71.12.1', '62.03.0', '82.30.0'];0
commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulic;['47.52.1'];['47.52.1', '47.54.0', '47.52.4', '47.78.5', '46.74.2', '47.52.3', '47.64.1', '47.59.9', '47.59.2', '47.78.3'];1
coltivazione di uliveti;['01.26.0'];['01.23.0', '01.19.1', '01.27.0', '01.15.0', '01.11.2', '03.21.0', '01.29.0', '01.16.0', '01.26.0', '01.21.0'];1
costruzione impianti di depurazione;['42.21.0'];['38.11.0', '30.12.0', '43.22.0', '28.29.9', '42.21.0', '42.91.0', '27.52.0', '43.99.0', '37.00.0', '36.00.0'];1
vendita attrezzature scientifiche;['46.18.9'];['47.52.1', '47.78.2', '46.52.0', '46.69.1', '46.49.9', '26.70.2', '47.42.0', '46.69.2', '46.69.9'];0
altre attivita' di costruzione di altre opere di ingegneria esclusi edifici;['42.99.0'];['42.99.0', '43.29.0', '16.29.1', '46.18.3', '41.20.0', '43.39.0', '16.23.2', '43.99.0', '97.00.0'];1
commercio vari prodotti al dettaglio online;['47.91.1'];['47.79.2', '47.51.1', '47.91.1', '47.41.0', '47.76.1', '47.71.1', '47.29.3', '47.78.3'];1
commercio al dettaglio acessori per macchina da caffe;['33.12.9', '46.69.9', '47.29.2', '47.59.4'];['47.52.1', '47.54.0', '46.37.0', '47.42.0', '47.59.4', '47.78.1', '46.66.0', '47.41.0', '47.29.2', '46.69.9'];1
vendita spazi web siti;['62.01.0', '74.10.2'];['73.12.0', '47.91.1', '45.11.0', '52.29.2', '63.12.0', '74.90.9', '96.03.0', '92.00.0', '45.19.0'];0
attivita di ricerca regolamentazione e tutela ambientale;['84.12.3'];['69.10.1', '71.20.2', '84.13.2', '71.12.5', '84.12.2', '26.51.2', '84.12.3', '94.99.6', '72.19.0', '90.03.0'];1
promozione organizzazione e attuazione di iniziative volte alla tutela della proprietntellettuale ed industriale atte a combattere la violazione di tali diritti e al contrasto del fenomeno della contraffazione;['35.11.0'];['73.11.0', '71.20.2', '69.10.1', '94.99.1', '94.11.0', '73.20.0', '77.40.0', '93.19.1', '66.19.1', '82.30.0'];0
ricerca scientifica medica;['72.19.0'];['21.20.0', '46.46.1', '72.20.0', '46.18.3', '72.19.0', '74.90.9', '86.10.3', '72.11.0', '86.90.1'];1
commercio ingrosso articoli pellami;['46.49.5', '46.24.1', '46.90.0'];['47.71.4', '46.42.2', '47.71.1', '47.51.1', '46.42.1', '46.49.5', '46.73.2', '47.72.2', '46.41.1', '47.78.3'];1
consulenza commerciale prodotti cani;['47.76.2'];['47.76.2', '73.11.0', '47.52.4', '75.00.0', '70.22.0', '46.23.0', '66.19.2', '10.92.0', '46.38.9'];1
corsi on line formazione eventi online e di presenza su coaching mentoring e consulenza;['85.59.2'];['62.02.0', '70.22.0', '85.42.0', '74.90.3', '85.60.0', '62.03.0', '58.19.0', '85.59.2'];1
commercioall ingrossodi macchinari per l estrazione l edilizia e l ingegneria civile;['46.63.0'];['33.12.9', '46.64.0', '46.63.0', '47.52.4', '46.62.0', '46.66.0', '46.69.2', '46.73.2', '46.69.9'];1
produzione di surgelati;['10.20.0', '10.31.0', '46.39.1', '28.25.0', '47.11.5', '10.39.0', '10.72.0'];['10.32.0', '10.11.0', '10.31.0', '10.73.0', '47.11.5', '10.51.2', '10.89.0', '10.12.0', '10.42.0'];1
commercio ambulante ingrosso;['47.89.0', '46.49.9', '46.34.2', '46.34.1'];['56.10.4', '46.42.1', '46.76.3', '47.82.0', '46.73.2', '47.89.0', '47.81.0'];1
