"code","level","title","description"
"K","sezione","TELECOMUNICAZIONI, PROGRAMMAZIONE E CONSULENZA INFORMATICA, INFRASTRUTTURE INFORMATICHE E ALTRE ATTIVITÀ DEI SERVIZI DI INFORMAZIONE","Questa sezione include le telecomunicazioni e le attività di servizi connesse, vale a dire la trasmissione di voce, dati, testo, audio e video (divisione 61), programmazione, consulenza informatica e le attività connesse (divisione 62) e fornitura di infrastrutture informatiche, elaborazione dati, hosting e altre attività connesse (divisione 63).\nedizione, trasmissione e produzione di contenuti, inclusi pubblicazione di software, servizi di postproduzione per la conversione di contenuti audio e video in formati adatti alla distribuzione in streaming e fornitura da parte di terzi indipendenti di servizi di distribuzione on demand di audio e video tramite streaming o download, cfr. sezione J\nfornitura di servizi finanziari e assicurativi tramite l'utilizzo di software e tecnologie informatiche specializzate in tali settori, cfr. sezione L\nattività di siti di gioco d'azzardo, cfr. sezione S\nriparazione e manutenzione di computer e apparecchiature di comunicazione, cfr. sezione T"
"L","sezione","ATTIVITÀ FINANZIARIE E ASSICURATIVE","Questa sezione include le attività finanziarie, assicurative e le attività ausiliarie dell'intermediazione finanziaria indipendentemente dalle tecnologie utilizzate per svolgere tali attività o servizi di supporto.\nIn questa sezione sono classificate tre tipologie principali di attività: la raccolta, l'ottenimento e l'erogazione di finanziamenti nella divisione 64, il raggruppamento (pooling) dei rischi attraverso la sottoscrizione di assicurazioni e rendite nella divisione 65 e la fornitura di servizi specializzati che facilitano o supportano le attività finanziarie o assicurative nella divisione 66.\nQuesta sezione include anche le attività di detenzione di attività, ad esempio le attività delle società di partecipazione (holding) e dei conduit di finanziamento e le attività di società fiduciarie, dei fondi e altre entità simili (nella divisione 64), nonché le attività di riassicurazione e dei fondi pensione (nella divisione 65).\nerogazione di servizi di supporto alle attività finanziarie ma che non costituiscono esse stesse attività finanziarie (come ad esempio i servizi informatici di supporto alle attività bancarie)"
"M","sezione","ATTIVITÀ IMMOBILIARI","Questa sezione include le attività di proprietà, locazione, acquisto, vendita, sviluppo o ristrutturazione (riqualificazione) di immobili. Include le attività svolte da vari tipi di investitori immobiliari, come ad esempio le società di investimento immobiliare, i trust di investimento immobiliare (Real Estate Investment Trust REIT), le società di gestione patrimoniale immobiliare, i fondi immobiliari, le società di sviluppo immobiliare o operatori immobiliari, le cooperative edilizie.\nInoltre, questa sezione include le attività di agenti e/o mediatori in una o più delle seguenti operazioni: vendita o acquisto di immobili, locazione di immobili, fornitura di altri servizi immobiliari come ad esempio la valutazione di immobili o l'attività di agenti di garanzia immobiliare. Le attività di questa sezione possono essere svolte su immobili di proprietà o in affitto e possono essere svolte su base remunerativa o contrattuale (per conto terzi).\nQuesta sezione include anche lo sviluppo di progetti immobiliari per edifici di proprietà o opere di ingegneria civile per la successiva vendita o locazione.\ncostruzione generale e lavori di costruzione specializzati per edifici e opere di ingegneria civile, cfr. sezione F"
"N","sezione","ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE","Questa sezione include le attività specialistiche professionali, scientifiche e tecniche. Tali attività richiedono un elevato livello di preparazione e mettono a disposizione degli utenti conoscenze e capacità specialistiche."
"O","sezione","ATTIVITÀ AMMINISTRATIVE E DI SERVIZI DI SUPPORTO","Questa sezione include una serie di attività amministrative e di servizi di supporto.\nQueste attività differiscono da quelle incluse nella sezione N, in quanto il loro scopo primario non consiste nel trasferimento di conoscenze specialistiche."
"P","sezione","AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA","Questa sezione include attività di natura governativa, normalmente svolte da amministrazioni pubbliche. Sono incluse l'emanazione e l'interpretazione giudiziaria delle leggi e la loro regolamentazione, l'amministrazione dei programmi basati su di esse, le attività legislative, la tassazione, la difesa nazionale, l'ordine pubblico e la sicurezza, i servizi di immigrazione, gli affari esteri e l'amministrazione dei programmi governativi.\nLo status giuridico o istituzionale delle unità economiche non è, di per sé, il fattore determinante per l'appartenenza di un'attività a questa sezione, ma piuttosto che l'attività sia della natura specificata nel paragrafo precedente.\nCiò significa che le attività classificate altrove nella NACE (e quindi nell'ATECO) non rientrano in questa sezione, anche se svolte da enti pubblici. Ad esempio, l'amministrazione del sistema scolastico (regolamenti, controlli, programmi di studio) rientra in questa sezione, ma non l'insegnamento in sé (cfr. sezione Q), mentre le attività di ospedali carcerari o militari sono classificate nella sezione dedicata alla salute umana (cfr. sezione R).\nAllo stesso tempo, alcune attività descritte in questa sezione possono essere svolte da unità non governative.\nQuesta sezione include anche le attività di assicurazione sociale obbligatoria."
"Q","sezione","ISTRUZIONE","In questa sezione viene classificata l'istruzione a qualsiasi livello o per qualsiasi professione. L'attività può essere svolta attraverso lezioni orali o scritte, tramite radio, televisione, Internet o per corrispondenza.\nLe attività di formazione (istruzione) sono quelle che hanno un programma educativo, una tempistica e una valutazione delle conoscenze raggiunte.\nQuesta sezione include l'istruzione iniziale formale ai suoi diversi livelli, errogata dalle diverse istituzioni del sistema scolastico regolare e destinata agli studenti come percorso formativo prima del loro primo ingresso nel mercato del lavoro; include, inoltre, l'istruzione formale al di fuori del sistema scolastico regolare con contenuti e qualifiche equivalenti a quelli dell'istruzione iniziale (istruzione per adulti, programmi di alfabetizzazione eccetera).\nSono inclusi anche i corsi di istruzione e formazione forniti ai rispettivi livelli dalle scuole e accademie militari, dalle scuole carcerarie eccetera.\nLa sezione include la scuola obbligatoria e non obbligatoria, l'istruzione pubblica e quella privata.\nPer ogni livello di istruzione, le classi comprendono l'istruzione speciale rivolta ad alunni con disabilità fisica o mentale.\nI gruppi 85.1, 85.2, 85.3 e 85.4 tengono conto delle attività di istruzione formale erogate nell'ambito della classificazione ISCED-P 2011, vale a dire la classificazione internazionale dei programmi educativi.\nDi conseguenza, la suddivisione delle categorie in questa sezione si basa sul livello di istruzione offerto come definito dai livelli della classificazione ISCED-P 2011.\nLe attività delle istituzioni educative che offrono corsi di livello ISCED-P 02 sono classificate nella classe 85.10, quelle di livello ISCED-P 1 nella classe 85.20, quelle di livello ISCED-P 2 nella classe 85.31, quelle di livello ISCED-P 3 nella classe 85.32, quelle di livello ISCED-P 4 nella classe 85.33 e quelle di livello ISCED-P 5-6-7-8 nel gruppo 85.4.\nNOTA: Le mappature tra i livelli di istruzione presenti nella classificazione ISCED-P 2011 e il nome delle qualifiche nella lingua nazionale sono disponibili al seguente indirizzo https://europa.eu/!mDwYbG\nLe istituzioni educative classificate nei gruppi 85.2, 85.3 e 85.4 sono autorizzate a certificare il completamento di un programma educativo, di solito sotto forma di un documento ufficialmente riconosciuto dalle autorità educative nazionali competenti.\nQuesta sezione si basa anche sulla distinzione tra programmi educativi formali e non formali prevista dalla classificazione europea delle attività di apprendimento (CLA). Pertanto, questa sezione include anche l'istruzione non formale che riguarda principalmente attività sportive e ricreative come il tennis o il golf e le attività di supporto all'istruzione (nei gruppi 85.5, 85.6).\nQuesta sezione include anche le attività formative erogate da docenti autonomi, per conto proprio, individuali o indipendenti (tutor, accademici, istruttori). Queste unità devono essere classificate nella classe 85.59.\nQuesta sezione include anche le attività relative all'amministrazione, all'ispezione, al funzionamento o al sostegno di scuole e altri istituti di istruzione, nonché il coordinamento di programmi sportivi.\nassistenza per bambini in età prescolare (ISCED-P 2011 livello 01 ""Sviluppo educativo della prima infanzia""), cfr. 88.91"
"R","sezione","SANITÀ E ASSISTENZA SOCIALE","Questa sezione include l'erogazione di servizi sanitari e di assistenza sociale offerti da operatori privati o pubblici. In particolare, includono:\nattività di assistenza sanitaria fornita da medici professionisti presso ospedali e altre strutture, anche ambulatoriali\nattività di assistenza residenziale che prevedono anche un certo grado di assistenza sanitaria\nattività di assistenza sociale non residenziale senza alcun coinvolgimento di operatori sanitari\nattività sportive, cfr. 93.1\naltre attività di servizi alla persona, cfr. 96.9\nattività di assistenza sociale residenziale, come l'accoglienza temporanea di persone senza fissa dimora\nQuesta sezione include discipline, servizi e attività svolte in ambito sanitario o comunque volte a sostenere e tutelare la salute umana nei processi di prevenzione, cura integrata, riabilitazione."
"S","sezione","ATTIVITÀ ARTISTICHE, SPORTIVE E DI DIVERTIMENTO","Questa sezione include un'ampia gamma di attività destinate a soddisfare i diversi interessi culturali, sportivi e ricreativi degli utenti, tra cui eventi dal vivo, spettacoli, gestione di siti di interesse culturale e naturale, e gioco d'azzardo.\nQuesta sezione include anche i servizi che consentono di organizzare eventi di intrattenimento e spettacoli dal vivo."
"T","sezione","ALTRE ATTIVITÀ DI SERVIZI","Questa sezione (come voce residuale) include le attività di organizzazioni associative, di riparazione di computer, beni per uso personale e per la casa, autoveicoli e motocicli, e una serie di attività di servizi alla persona non contemplate altrove nella classificazione."
"U","sezione","ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO E PRODUZIONE DI BENI E SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE",""
"V","sezione","ATTIVITÀ DI ORGANIZZAZIONI E ORGANISMI EXTRATERRITORIALI",""
