"main","code","level","title","description"
"A","03.1","gruppo","PESCA","Questo gruppo include la cattura di fauna marina, vale a dire le attività di raccolta, prelievo e raduno di organismi acquatici viventi (generalmente pesci, molluschi e crostacei), incluse le piante acquatiche provenienti da acque oceaniche, costiere o interne, destinate al consumo da parte dell'uomo e ad altri scopi, effettuate a mano o più generalmente tramite attrezzature da pesca, come reti, lenze, trappole in linea o stazionarie. Tali attività possono essere condotte sulla linea costiera litorale (per esempio, la raccolta di molluschi, come cozze ed ostriche), in acque costiere o in mare aperto. Sono incluse anche le attività di pesca in specchi d'acqua ripopolati."
"A","03.2","gruppo","ACQUACOLTURA","Questo gruppo include l'acquacoltura (o aquafarming), vale a dire il processo di produzione che prevede la coltivazione o l'allevamento (inclusa la raccolta) di organismi acquatici (ad esempio, pesci, molluschi, crostacei, piante, anfibi) utilizzando tecniche progettate per aumentare la produzione di tali organismi, oltre la capacità naturale dell'ambiente (per esempio, nutrimento regolare e difesa dai predatori). L'acquacoltura include anche la proprietà individuale, aziendale o statale dei singoli organismi durante l'allevamento o la fase di coltura, fino alla raccolta inclusa.\nPer coltivazione/allevamento si intende la crescita fino alla fase giovanile e/o adulta in condizioni di cattività degli organismi di cui sopra.\nQuesto gruppo include anche l'allevamento di avannotti e adulti in condizioni artificiali.\nallevamento e riproduzione di rettili, cfr. 01.48\nallevamento e riproduzione di serpenti e tartarughe, cfr. 01.48\nproduzione di pelli grezze di rettile (ad esempio serpenti e tartarughe) per pellicceria o pelli di uccelli provenienti da attività di allevamento, cfr. 01.48"
"A","03.3","gruppo","ATTIVITÀ DI SUPPORTO ALLA PESCA E ALL'ACQUACOLTURA","Questo gruppo include attività di servizi inerenti la pesca o l'acquacoltura marittime o in acque dolci."
"B","05.1","gruppo","ESTRAZIONE DI ANTRACITE",""
"B","05.2","gruppo","ESTRAZIONE DI LIGNITE",""
"B","06.1","gruppo","ESTRAZIONE DI PETROLIO GREGGIO",""
"B","06.2","gruppo","ESTRAZIONE DI GAS NATURALE",""
"B","07.1","gruppo","ESTRAZIONE DI MINERALI METALLIFERI FERROSI",""
"B","07.2","gruppo","ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI","Questo gruppo include l'estrazione di minerali metalliferi non ferrosi."
"B","08.1","gruppo","ESTRAZIONE DI PIETRA, SABBIA E ARGILLA",""
"B","08.9","gruppo","ATTIVITÀ ESTRATTIVE N.C.A.",""
"B","09.1","gruppo","ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E GAS NATURALE",""
"B","09.9","gruppo","ATTIVITÀ DI SUPPORTO AD ALTRE ATTIVITÀ ESTRATTIVE",""
"C","10.1","gruppo","LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE",""
"C","10.2","gruppo","LAVORAZIONE E CONSERVAZIONE DI PESCE, CROSTACEI E MOLLUSCHI",""
"C","10.3","gruppo","LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI",""
"C","10.4","gruppo","PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI","Questo gruppo include la produzione di oli e grassi grezzi e raffinati a partire da materiali vegetali o animali.\nlavorazione o raffinazione dello strutto e dei grassi animali commestibili di bovini, ovini, caprini o suini, cfr. 10.1"
"C","10.5","gruppo","PRODUZIONE DI PRODOTTI LATTIERO-CASEARI E GELATI","produzione di sostituti del latte a base vegetale, cfr. 10.89"
"C","10.6","gruppo","LAVORAZIONE DI GRANAGLIE, PRODUZIONE DI AMIDI E DI PRODOTTI AMIDACEI","Questo gruppo include la molitura di farina o farina di cereali o ortaggi, la molitura, la pulizia e la lucidatura di riso, nonché la produzione di miscele di farina o di impasti a partire da questi prodotti.\nIn questo gruppo sono incluse anche la macinazione a umido di mais e ortaggi e la produzione di amido e prodotti amidacei.\nQuesto gruppo include anche la produzione di prodotti senza glutine derivanti dalla lavorazione di granaglie.\nessiccazione di cereali, su base remunerativa o contrattuale (per conto terzi), cfr. 01.63"
"C","10.7","gruppo","PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI","Questo gruppo include la produzione di prodotti di panetteria, paste alimentari e prodotti simili.\nQuesto gruppo include anche la produzione di prodotti da forno e farinacei senza glutine."
"C","10.8","gruppo","PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI","Questo gruppo include la produzione di zucchero e dolciumi, pasti e piatti pronti, caffè, tè e spezie."
"C","10.9","gruppo","PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI",""
"C","11.0","gruppo","PRODUZIONE DI BEVANDE",""
"C","12.0","gruppo","PRODUZIONE DI TABACCHI",""
"C","13.1","gruppo","PREPARAZIONE E FILATURA DI FIBRE TESSILI",""
"C","13.2","gruppo","TESSITURA",""
"C","13.3","gruppo","FINISSAGGIO DEI TESSILI",""
"C","13.9","gruppo","ALTRE FABBRICAZIONI TESSILI","Questo gruppo include la fabbricazione di prodotti tessili, ad eccezione di articoli di abbigliamento, ad esempio articoli tessili confezionati, tappeti e moquette, corde, nastri, passamanerie."
"C","14.1","gruppo","FABBRICAZIONE DI ARTICOLI A MAGLIA E ALL'UNCINETTO",""
"C","14.2","gruppo","CONFEZIONE DI ALTRI ARTICOLI DI ABBIGLIAMENTO E ACCESSORI","Questo gruppo include la fabbricazione di articoli di abbigliamento diversi da quelli a maglia. Il materiale utilizzato può essere di qualsiasi tipo e può essere rivestito, impregnato o gommato.\nriparazione di articoli di abbigliamento, cfr. 95.29"
"C","15.1","gruppo","CONCIA, TINTURA E RIFINIZIONE DI PELLI E PELLICCE; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, PELLETTERIA E SELLERIA","Questo gruppo include la fabbricazione di pelli e pellicce e i relativi prodotti."
"C","15.2","gruppo","FABBRICAZIONE DI CALZATURE",""
"C","16.1","gruppo","TAGLIO E PIALLATURA DEL LEGNO; LAVORAZIONE E FINITURA DEL LEGNO",""
"C","16.2","gruppo","FABBRICAZIONE DI PRODOTTI IN LEGNO, SUGHERO, PAGLIA E MATERIALI DA INTRECCIO","Questo gruppo include la fabbricazione di prodotti in legno, sughero, paglia e materiali da intreccio, inclusa la fabbricazione di sagome e di prodotti assemblati."
"C","17.1","gruppo","FABBRICAZIONE DI PASTA-CARTA, CARTA E CARTONE",""
"C","17.2","gruppo","FABBRICAZIONE DI ARTICOLI DI CARTA E CARTONE",""
"C","18.1","gruppo","STAMPA E SERVIZI CONNESSI ALLA STAMPA","Questo gruppo include le attività di stampa di prodotti, come ad esempio giornali, libri, periodici, moduli commerciali e biglietti d'auguri, le attività di stampa su magliette e altri tipi di materiali, e le attività di supporto connesse, come la legatoria, i servizi di preparazione di lastre, di conversione di dati in immagini. La stampa può essere effettuata con tecniche e materiali differenti."
"C","18.2","gruppo","RIPRODUZIONE DI SUPPORTI REGISTRATI",""
"C","19.1","gruppo","FABBRICAZIONE DI PRODOTTI DI COKERIA",""
"C","19.2","gruppo","FABBRICAZIONE DI PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO E PRODOTTI DA COMBUSTIBILI FOSSILI",""
"C","20.1","gruppo","FABBRICAZIONE DI PRODOTTI CHIMICI DI BASE, DI FERTILIZZANTI E COMPOSTI AZOTATI, DI MATERIE PLASTICHE E GOMMA SINTETICA IN FORME PRIMARIE","Questo gruppo include la fabbricazione di prodotti chimici di base, fertilizzanti e composti azotati associati, nonché plastica e gomma sintetica in forme primarie."
"C","20.2","gruppo","FABBRICAZIONE DI FITOFARMACI, DISINFETTANTI E ALTRI PRODOTTI CHIMICI PER L'AGRICOLTURA",""
"C","20.3","gruppo","FABBRICAZIONE DI PITTURE, VERNICI E SMALTI, INCHIOSTRI DA STAMPA E ADESIVI SINTETICI",""
"C","20.4","gruppo","FABBRICAZIONE DI PRODOTTI PER IL LAVAGGIO, LA PULIZIA E LA LUCIDATURA",""
"C","20.5","gruppo","FABBRICAZIONE DI ALTRI PRODOTTI CHIMICI","Questo gruppo include la fabbricazione di biocarburanti liquidi e di prodotti chimici n.c.a., ad esempio esplosivi e prodotti pirotecnici, colle, oli essenziali, preparati diagnostici compositi."
"C","20.6","gruppo","FABBRICAZIONE DI FIBRE SINTETICHE E ARTIFICIALI",""
"C","21.1","gruppo","FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE",""
"C","21.2","gruppo","FABBRICAZIONE DI MEDICINALI E PREPARATI FARMACEUTICI",""
"C","22.1","gruppo","FABBRICAZIONE DI ARTICOLI IN GOMMA","Questo gruppo include la fabbricazione di articoli in gomma."
"C","22.2","gruppo","FABBRICAZIONE DI ARTICOLI IN MATERIE PLASTICHE","Questo gruppo include la trasformazione di resine plastiche nuove o usate (per esempio riciclate) in prodotti intermedi o finali, utilizzando processi quali la compressione, l'estrusione, l'iniezione, il soffio e la fusione. Nella maggior parte dei casi, il processo di produzione permette di ottenere una grande varietà di prodotti.\nproduzione di parti o accessori in plastica, adatti ad essere utilizzati esclusivamente o principalmente per autoveicoli, cfr. 29.3"
"C","23.1","gruppo","FABBRICAZIONE DI VETRO E DI PRODOTTI IN VETRO","Questo gruppo include la fabbricazione di vetro in tutte le sue forme ottenuto tramite qualsiasi processo, e di prodotti in vetro."
"C","23.2","gruppo","FABBRICAZIONE DI PRODOTTI REFRATTARI",""
"C","23.3","gruppo","FABBRICAZIONE DI MATERIALI DA COSTRUZIONE IN TERRACOTTA",""
"C","23.4","gruppo","FABBRICAZIONE DI ALTRI PRODOTTI IN PORCELLANA E IN CERAMICA","Questo gruppo include la fabbricazione di prodotti finiti provenienti da minerali non metalliferi estratti o scavati, come sabbia, ghiaia, pietra o argilla."
"C","23.5","gruppo","PRODUZIONE DI CEMENTO, CALCE E GESSO",""
"C","23.6","gruppo","FABBRICAZIONE DI PRODOTTI IN CALCESTRUZZO, CEMENTO E GESSO",""
"C","23.7","gruppo","TAGLIO, MODELLATURA E FINITURA DI PIETRE",""
"C","23.9","gruppo","FABBRICAZIONE DI PRODOTTI ABRASIVI E IN MINERALI NON METALLIFERI N.C.A.",""
"C","24.1","gruppo","ATTIVITÀ SIDERURGICHE",""
"C","24.2","gruppo","FABBRICAZIONE DI TUBI, CONDOTTI, PROFILATI CAVI E RELATIVE GUARNIZIONI IN ACCIAIO",""
"C","24.3","gruppo","FABBRICAZIONE DI ALTRI PRODOTTI DELLA PRIMA TRASFORMAZIONE DELL'ACCIAIO","Questo gruppo include la fabbricazione di altri prodotti della trasformazione a freddo dell'acciaio."
"C","24.4","gruppo","PRODUZIONE DI METALLI DI BASE PREZIOSI E DI ALTRI NON FERROSI",""
"C","24.5","gruppo","FUSIONE DI GETTI IN METALLO","Questo gruppo include le attività delle fonderie che utilizzano diversi processi di fusione per produrre getti con tutte le leghe metalliche ferrose e non ferrose. Può essere inclusa anche la successiva rifilatura o scagliatura dei getti, ma senza ulteriori lavorazioni.\nQuesto gruppo include la produzione di getti utilizzati in vari settori industriali\nfabbricazione di prodotti ottenuti con processi produttivi diversi dalla fusione, ad esempio come pezzi forgiati, pressati, trafilati e stampati, anelli laminati o prodotti di metallurgia delle polveri, cfr. divisione 25\nfabbricazione di prodotti finiti mediante ulteriore lavorazione di getti, ad esempio:\ncaldaie e radiatori, cfr. 25.21\nfabbricazione di prodotti di fusione per uso domestico di fusione, ancore, eliche di navi e campane, cfr. 25.99"
"C","25.1","gruppo","FABBRICAZIONE DI ELEMENTI DA COSTRUZIONE IN METALLO","Questo gruppo include la fabbricazione di prodotti metallici strutturali (ad esempio, strutture metalliche o parti metalliche di strutture)."
"C","25.2","gruppo","FABBRICAZIONE DI CISTERNE, SERBATOI E CONTENITORI IN METALLO","Questo gruppo include la produzione di serbatoi metallici, radiatori per il riscaldamento centrale, caldaie a vapore o di altro tipo (escluse caldaie per il riscaldamento centrale)."
"C","25.3","gruppo","FABBRICAZIONE DI ARMI E MUNIZIONI",""
"C","25.4","gruppo","FUCINATURA E FORMATURA DEI METALLI E METALLURGIA DELLE POLVERI",""
"C","25.5","gruppo","TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORI DI MECCANICA GENERALE","Questo gruppo include le attività generali per il trattamento dei metalli, ad esempio placcatura, rivestimento, incisione, alesatura, lucidatura o saldatura, tipicamente eseguite su base remunerativa o contrattuale (per conto terzi)."
"C","25.6","gruppo","FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI E OGGETTI DI FERRAMENTA","Questo gruppo include la fabbricazione di articoli di coltelleria, utensili a mano in metao e oggetti di ferramenta per uso generale."
"C","25.9","gruppo","FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO","Questo gruppo include la fabbricazione di prodotti vari in metallo, ad esempio lattine o bidoni, secchi; chiodi, bulloni e dadi; prodotti per uso domestico in metallo; infissi in metallo; eliche e ancore per navi; attrezzature per binari ferroviari assemblati eccetera per una varietà di usi domestici e industriali."
"C","26.1","gruppo","FABBRICAZIONE DI COMPONENTI ELETTRONICI E SCHEDE ELETTRONICHE",""
"C","26.2","gruppo","FABBRICAZIONE DI COMPUTER E UNITÀ PERIFERICHE",""
"C","26.3","gruppo","FABBRICAZIONE DI APPARECCHIATURE PER LE COMUNICAZIONI",""
"C","26.4","gruppo","FABBRICAZIONE DI PRODOTTI DI ELETTRONICA DI CONSUMO",""
"C","26.5","gruppo","FABBRICAZIONE DI STRUMENTI DI MISURAZIONE E PROVA, OROLOGI","Questo gruppo include la fabbricazione di strumenti di rilevamento, misurazione, prova e navigazione per scopi industriali o non, inclusi strumenti per la misurazione del tempo come ad esempio orologi (da muro o da polso) e simili."
"C","26.6","gruppo","FABBRICAZIONE DI STRUMENTI PER IRRADIAZIONE, APPARECCHIATURE ELETTROMEDICALI ED ELETTROTERAPEUTICHE",""
"C","26.7","gruppo","FABBRICAZIONE DI STRUMENTI OTTICI, SUPPORTI MAGNETICI E OTTICI E APPARECCHIATURE FOTOGRAFICHE",""
"C","27.1","gruppo","FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI E DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITÀ","Questo gruppo include la fabbricazione di trasformatori di potenza, di distribuzione e speciali; motori elettrici, generatori e gruppi elettrogeni."
"C","27.2","gruppo","FABBRICAZIONE DI BATTERIE E ACCUMULATORI",""
"C","27.3","gruppo","FABBRICAZIONE DI CABLAGGI E APPARECCHIATURE DI CABLAGGIO","Questo gruppo include la fabbricazione di dispositivi di cablaggio destinati alla trasmissione di corrente elettrica o meno (conduttivi o non conduttivi), per circuiti elettrici a prescindere dal materiale utilizzato.\nQuesto gruppo include anche l'isolamento di fili elettrici e la fabbricazione di cavi a fibra ottica."
"C","27.4","gruppo","FABBRICAZIONE DI APPARECCHIATURE PER L'ILLUMINAZIONE",""
"C","27.5","gruppo","FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO","Questo gruppo include la fabbricazione di piccoli elettrodomestici e casalinghi elettrici, ventilatori d'aria, aspirapolvere, macchine per la cura dei pavimenti, apparecchi di cottura, attrezzature per lavanderia, frigoriferi, congelatori a colonna e a pozzetto e altri apparecchi elettrici o non elettrici, ad esempio lavastoviglie, scaldacqua, tritarifiuti. Tutti gli apparecchi elencati sono intesi per uso domestico. Questo gruppo include la produzione di elettrodomestici con alimentazione elettrica, a gas o di altro tipo."
"C","27.9","gruppo","FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE",""
"C","28.1","gruppo","FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE",""
"C","28.2","gruppo","FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE",""
"C","28.3","gruppo","FABBRICAZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA",""
"C","28.4","gruppo","FABBRICAZIONE DI MACCHINE PER LA DEFORMAZIONE DEI METALLI E DI ALTRE MACCHINE UTENSILI","Questo gruppo include la fabbricazione di macchine per la deformazione (formatura) dei metalli e di macchine utensili, per esempio macchine utensili per la lavorazione dei metalli e di altri materiali (legno, osso, pietra, gomma indurita, plastiche dure, vetro lavorato a freddo) incluse quelle che utilizzano raggi laser, onde ad ultrasuoni, arco a plasma, impulsi magnetici eccetera."
"C","28.9","gruppo","FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI","Questo gruppo include la fabbricazione di macchine per impieghi speciali, cioè macchine per uso esclusivo in un settore NACE o in un gruppo ristretto di settori secondo la NACE.\nSebbene la maggior parte di questi macchinari per impieghi speciali sia utilizzata in altri processi di produzione, ad esempio produzione alimentare o manifattura tessile, questo gruppo include anche la fabbricazione di macchinari specifici per altri settori (vale a dire settori non manifatturieri), come attrezzature per il lancio di aeromobili o attrezzature per parchi di divertimento."
"C","29.1","gruppo","FABBRICAZIONE DI AUTOVEICOLI",""
"C","29.2","gruppo","FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI; FABBRICAZIONE DI RIMORCHI E SEMIRIMORCHI",""
"C","29.3","gruppo","FABBRICAZIONE DI PARTI E ACCESSORI PER AUTOVEICOLI","Questo gruppo include la fabbricazione di parti e accessori per autoveicoli di qualsiasi materiale."
"C","30.1","gruppo","COSTRUZIONE DI NAVI E IMBARCAZIONI","Questo gruppo include la costruzione di navi, imbarcazioni, yacht e altre strutture galleggianti per il trasporto e altri scopi commerciali, nonché per scopi sportivi, ricreativi e militari."
"C","30.2","gruppo","COSTRUZIONE DI LOCOMOTIVE E DI MATERIALE ROTABILE FERRO-TRANVIARIO",""
"C","30.3","gruppo","FABBRICAZIONE DI AEROMOBILI, VEICOLI SPAZIALI E RELATIVI EQUIPAGGIAMENTI",""
"C","30.4","gruppo","FABBRICAZIONE DI VEICOLI MILITARI DA COMBATTIMENTO",""
"C","30.9","gruppo","FABBRICAZIONE DI MEZZI DI TRASPORTO N.C.A.","Questo gruppo include la fabbricazione di mezzi di trasporto diversi da autoveicoli o mezzi ferroviari, imbarcazioni, aeromobili, veicoli spaziali e relativi equipaggiamenti e veicoli militari."
"C","31.0","gruppo","FABBRICAZIONE DI MOBILI",""
"C","32.1","gruppo","FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI","Questo gruppo include la fabbricazione di gioielleria e bigiotteria."
"C","32.2","gruppo","FABBRICAZIONE DI STRUMENTI MUSICALI",""
"C","32.3","gruppo","FABBRICAZIONE DI ARTICOLI SPORTIVI",""
"C","32.4","gruppo","FABBRICAZIONE DI GIOCHI E GIOCATTOLI",""
"C","32.5","gruppo","FABBRICAZIONE DI STRUMENTI E FORNITURE MEDICHE E DENTISTICHE",""
"C","32.9","gruppo","ATTIVITÀ MANIFATTURIERE N.C.A.",""
"C","33.1","gruppo","RIPARAZIONE E MANUTENZIONE DI PRODOTTI IN METALLO, MACCHINE E APPARECCHIATURE","Questo gruppo include la riparazione specializzata di beni prodotti dal settore manifatturiero, con l'obiettivo di ripristinare il funzionamento di prodotti in metallo, macchine, apparecchiature e altri prodotti. È inclusa l'erogazione di servizi di manutenzione generale o ordinaria (per esempio i servizi di assistenza) su tali prodotti per garantirne il funzionamento efficiente e per prevenire guasti e riparazioni non necessarie.\nricostruzione o rifabbricazione di macchine e apparecchiature, cfr. classe corrispondente nelle divisioni 25, 26, 27, 28, 29, 30\npulizia di macchinari industriali, cfr. 81.22\nriparazione e manutenzione di computer e apparecchiature per le comunicazioni, cfr. 95.1\nriparazione e manutenzione di beni per la casa, cfr. 95.2"
"C","33.2","gruppo","INSTALLAZIONE DI MACCHINE E APPARECCHIATURE INDUSTRIALI",""
"D","35.1","gruppo","FORNITURA DI ENERGIA ELETTRICA","Questo gruppo include la produzione di energia elettrica, la trasmissione dalle centrali di produzione ai centri di distribuzione e la distribuzione agli utenti finali.\nSono inclusi anche il commercio e lo stoccaggio di energia elettrica.\nproduzione e distribuzione separata di vapore e calore, cfr. 35.3\nattività di intermediari o agenti di energia elettrica che organizzano il commercio di energia elettrica attraverso sistemi di distribuzione di energia elettrica gestiti da terzi, cfr. 35.4"
"D","35.2","gruppo","FORNITURA DI GAS MEDIANTE CONDOTTE","Questo gruppo include la produzione di gas, lo stoccaggio e la distribuzione di gas naturale o sintetico all'utente attraverso un sistema di condutture.\nestrazione di gas naturale greggio, cfr. 06.20\nattività di intermediari o agenti di gas che organizzano il commercio di combustibili gassosi attraverso sistemi di distribuzione di gas gestiti da terzi, cfr. 35.4\ntrasporto, di solito su lunghe distanze, di gas attraverso gasdotti, cfr. 49.50\ngestione separata di gasdotti, in genere su lunghe distanze, che collegano i produttori con i distributori di gas o tra le città, cfr. 49.50"
"D","35.3","gruppo","FORNITURA DI VAPORE E ARIA CONDIZIONATA",""
"D","35.4","gruppo","SERVIZI DI INTERMEDIAZIONE PER L'ENERGIA ELETTRICA E IL GAS NATURALE",""
"E","36.0","gruppo","RACCOLTA, TRATTAMENTO E FORNITURA DI ACQUA",""
"E","37.0","gruppo","GESTIONE DELLE RETI FOGNARIE",""
"E","38.1","gruppo","RACCOLTA DEI RIFIUTI","Questo gruppo include la raccolta di rifiuti provenienti da famiglie e aziende, ad esempio tramite cassonetti e contenitori. È inclusa la raccolta di rifiuti non pericolosi e pericolosi, come pannolini, batterie usate, rifiuti da demolizione, oli esausti provenienti da abitazioni e navi."
"E","38.2","gruppo","RECUPERO DEI RIFIUTI","Questo gruppo include il trattamento di rifiuti e il recupero di rifiuti non pericolosi e pericolosi. Sono inclusi il recupero di materiali, il recupero di energia derivante dal trattamento termico dei rifiuti e altre forme di recupero dei rifiuti. Il gruppo include anche il trattamento prima del recupero di varie forme di rifiuti con mezzi diversi.\ntrattamento e smaltimento delle acque reflue, cfr. 37.00\nsmaltimento di rifiuti senza recupero, cfr. 38.3"
"E","38.3","gruppo","SMALTIMENTO DEI RIFIUTI SENZA RECUPERO","Questo gruppo include lo smaltimento di rifiuti non pericolosi e pericolosi. Sono inclusi il trattamento termico senza recupero di energia, la messa in discarica, il rilascio in corpi idrici e lo stoccaggio permanente dei rifiuti. _x000D_
Sono inclusi nel gruppo anche i trattamenti precedenti allo smaltimento di varie forme di rifiuti, come il trattamento dei rifiuti organici ai fini dello smaltimento; il trattamento e lo smaltimento di animali tossici vivi o morti e di altri rifiuti contaminati; il trattamento e lo smaltimento di rifiuti radioattivi di transizione provenienti da ospedali, eccetera.\nQuesto gruppo include anche l'interramento o aratura dei rifiuti; smaltimento di beni usati per eliminare rifiuti nocivi.\ntrattamento e smaltimento delle acque reflue, cfr. 37.00\nrecupero dei rifiuti, cfr. 38.2"
"E","39.0","gruppo","ATTIVITÀ DI RISANAMENTO E ALTRI SERVIZI DI GESTIONE DEI RIFIUTI",""
"F","41.0","gruppo","COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI",""
"F","42.1","gruppo","COSTRUZIONE DI STRADE E LINEE FERROVIARIE",""
"F","42.2","gruppo","COSTRUZIONE DI OPERE DI PUBBLICA UTILITÀ",""
"F","42.9","gruppo","COSTRUZIONE DI ALTRE OPERE DI INGEGNERIA CIVILE",""
"F","43.1","gruppo","DEMOLIZIONE E PREPARAZIONE DEL CANTIERE EDILE","Questo gruppo include le attività di preparazione di un cantiere edile per i successivi lavori di costruzione, inclusa la rimozione di strutture preesistenti."
"F","43.2","gruppo","INSTALLAZIONE DI IMPIANTI ELETTRICI, IDRAULICI E ALTRI LAVORI DI INSTALLAZIONE EDILI","Questo gruppo include i servizi di installazione che supportano il funzionamento di un edificio inclusa l'installazione di impianti elettrici, idraulici (acqua, gas e sistemi di fognatura), impianti di riscaldamento e condizionamento dell'aria, ascensori eccetera."
"F","43.3","gruppo","COMPLETAMENTO E FINITURA DI EDIFICI",""
"F","43.4","gruppo","LAVORI DI COSTRUZIONE SPECIALIZZATI NELLA COSTRUZIONE DI EDIFICI",""
"F","43.5","gruppo","LAVORI DI COSTRUZIONE SPECIALIZZATI NELL'INGEGNERIA CIVILE",""
"F","43.6","gruppo","SERVIZI DI INTERMEDIAZIONE PER SERVIZI DI COSTRUZIONE SPECIALIZZATI",""
"F","43.9","gruppo","ALTRI LAVORI DI COSTRUZIONE SPECIALIZZATI",""
"G","46.1","gruppo","SERVIZI DI INTERMEDIAZIONE PER IL COMMERCIO ALL'INGROSSO","Questo gruppo include i servizi di intermediazione, vale a dire di facilitazione delle transazioni tra venditori e acquirenti per l'ordinazione di beni a fronte di un compenso o di una commissione senza assumere la proprietà dei beni oggetto dell'intermediazione, tra cui:\nattività di commissionari, commodity broker e altri grossisti che effettuano operazioni commerciali a nome e per conto terzi senza possedere in alcun momento i beni intermediati\nfacilitazione dell'incontro o contatto (inteso come intermediazione) tra venditori e compratori\nesecuzione di transazioni commerciali per conto di un committente, anche su Internet\nattività di agenti commissionari che assumono la proprietà dei beni, anche se agiscono in nome e per conto terzi, cfr. 46.2, 46.3, 46.4, 46.5, 46.6, 46.7, 46.8, 46.9\nattività degli agenti commissionari che assumono la proprietà dei beni, anche se agiscono in nome e per conto terzi, cfr. 46.2, 46.3, 46.4, 46.5, 46.6, 46.7, 46.8, 46.9\nattività di intermediari occulti vale a dire intermediari che agiscono in nome e per conto terzi, cfr. 46.2, 46.3, 46.4, 46.5, 46.6, 46.7, 46.8, 46.9\nservizi di intermediazione per il commercio al dettaglio, cfr. 47.9\nservizi di intermediazione per attività immobiliari, cfr. 68.31\nattività di siti web che offrono funzionalità di ricerca di beni mettendo in contatto i clienti con i venditori, cfr. classi corrispondenti relative ai servizi di intermediazione\nattività di pubblicità, ricerche di mercato e pubbliche relazioni, cfr. divisione 73\nattività delle centrali di acquisto, se agiscono in qualità di intermediario e non sono proprietarie dei beni\nattività di case d'asta all'ingrosso di beni di terzi, incluse aste all'ingrosso su Internet"
"G","46.2","gruppo","COMMERCIO ALL'INGROSSO DI MATERIE PRIME AGRICOLE E ANIMALI VIVI","attività di grossisti che non assumono la proprietà dei beni commercializzati, cfr. 46.1"
