main,code,title,description,exclusion_title,exclusion_list,exclusion_description,level
C,10.7,produzione di prodotti da forno e farinacei,"Questo gruppo include la produzione di prodotti di panetteria, paste alimentari e prodotti simili.",,,,gruppo
C,10.8,produzione di altri prodotti alimentari,"Questo gruppo include la produzione di zucchero e confetterie, pasti e piatti pronti, caffè, tè e spezie, alimenti confezionati deperibili, prodotti alimentari specializzati.",,,,gruppo
C,10.9,produzione di prodotti per l'alimentazione degli animali,,,,,gruppo
C,11.0,industria delle bevande,,,,,gruppo
C,12.0,industria del tabacco,,,,,gruppo
C,13.1,preparazione e filatura di fibre tessili,,,,,gruppo
C,13.2,tessitura,,,,,gruppo
C,13.3,finissaggio dei tessili,,,,,gruppo
C,13.9,altre industrie tessili,"Questo gruppo include la fabbricazione di prodotti tessili, ad eccezione degli articoli di vestiario, come tessuti a maglia, biancheria, tappeti e tappetini, corde, nastri, passamaneria eccetera.",,,,gruppo
C,14.1,confezione di articoli di abbigliamento (escluso abbigliamento in pelliccia),"Questo gruppo include la fabbricazione di articoli di vestiario. Il materiale utilizzato può essere di qualsiasi tipo e può essere spalmato, impregnato o gommato.",,,,gruppo
C,14.2,confezione di articoli in pelliccia,,,,,gruppo
C,14.3,fabbricazione di articoli di maglieria,,,,,gruppo
C,15.1,"preparazione e concia del cuoio; fabbricazione di articoli da viaggio, borse, pelletteria e selleria; preparazione e tintura di pellicce","Questo gruppo include la fabbricazione di cuoio, pelle e pelliccia e articoli derivati",,,,gruppo
C,15.2,fabbricazione di calzature,,,,,gruppo
C,16.1,taglio e piallatura del legno,,,,,gruppo
C,16.2,"fabbricazione di prodotti in legno, sughero, paglia e materiali da intreccio","Questo gruppo include la fabbricazione di prodotti in legno, in sughero, paglia e materiali da intreccio, incluse le sagome e i prodotti assemblati.",,,,gruppo
C,17.1,"fabbricazione di pasta-carta, carta e cartone",,,,,gruppo
C,17.2,fabbricazione di articoli di carta e cartone,,,,,gruppo
C,18.1,stampa e servizi connessi alla stampa,"Questo gruppo include le attività di stampa di quotidiani, libri, periodici, moduli commerciali, biglietti d'auguri e altro materiale; sono comprese anche le attività di supporto, quali la legatoria, la preparazione di lastre, di testi e di immagini. La stampa può essere effettuata utilizzando tecniche e materiali differenti.",,,,gruppo
C,18.2,riproduzione di supporti registrati,,,,,gruppo
C,19.1,fabbricazione di prodotti di cokeria,,,,,gruppo
C,19.2,fabbricazione di prodotti derivanti dalla raffinazione del petrolio,,,,,gruppo
C,20.1,"fabbricazione di prodotti chimici di base, di fertilizzanti e composti azotati, di materie plastiche e gomma sintetica in forme primarie",,,,,gruppo
C,20.2,fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura,,,,,gruppo
C,20.3,"fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)",,,,,gruppo
C,20.4,"fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura, di profumi e cosmetici",,,,,gruppo
C,20.5,fabbricazione di altri prodotti chimici,"Questo gruppo include la fabbricazione di esplosivi e articoli pirotecnici, colle, oli essenziali e altri prodotti chimici n.c.a. per esempio: preparazioni chimiche per uso fotografico (incluse pellicole e carta sensibilizzata), gelatine, preparazioni diagnostiche composite eccetera.",,,,gruppo
C,20.6,fabbricazione di fibre sintetiche e artificiali,,,,,gruppo
C,21.1,fabbricazione di prodotti farmaceutici di base,,,,,gruppo
C,21.2,fabbricazione di medicinali e preparati farmaceutici,,,,,gruppo
C,22.1,fabbricazione di articoli in gomma,,,,,gruppo
C,22.2,fabbricazione di articoli in materie plastiche,"Questo gruppo comprende la trasformazione di resine plastiche nuove o usate (per esempio riciclate) in prodotti intermedi o finali, utilizzando processi quali la compressione, l'estrusione, l'iniezione, il soffio e la fusione. Nella maggior parte dei casi, il processo di produzione permette di ottenere una grande varietà di prodotti.",,,,gruppo
C,23.1,fabbricazione di vetro e di prodotti in vetro,"Questo gruppo include la fabbricazione di vetro in tutte le sue forme e di prodotti in vetro, ottenuti tramite qualsiasi processo.",,,,gruppo
C,23.2,fabbricazione di prodotti refrattari,,,,,gruppo
C,23.3,fabbricazione di materiali da costruzione in terracotta,,,,,gruppo
C,23.4,fabbricazione di altri prodotti in porcellana e in ceramica,"Questo gruppo include la fabbricazione di prodotti finiti provenienti da minerali non metalliferi, come sabbia, ghiaia, pietra o argilla.",,,,gruppo
C,23.5,"produzione di cemento, calce e gesso",,,,,gruppo
C,23.6,"fabbricazione di prodotti in calcestruzzo, cemento e gesso",,,,,gruppo
C,23.7,"taglio, modellatura e finitura di pietre",,,,,gruppo
C,23.9,fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi n.c.a.,,,,,gruppo
C,24.1,siderurgia,Questo gruppo comprende attività quali la riduzione diretta del minerale di ferro; la fabbricazione di ghisa grezza in forma liquida o solida; la conversione di ghisa grezza in acciaio; la fabbricazione di ferroleghe e di prodotti siderurgici.,,,,gruppo
C,24.2,"fabbricazione di tubi, condotti, profilati cavi e relativi accessori in acciaio (esclusi quelli in acciaio colato)",,,,,gruppo
C,24.3,fabbricazione di altri prodotti della prima trasformazione dell'acciaio,Questo gruppo include la fabbricazione di altri prodotti della trasformazione a freddo dell'acciaio.,,,,gruppo
C,24.4,"produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari",,,,,gruppo
C,24.5,fonderie,"Questo gruppo include la fabbricazione di prodotti semilavorati e getti di vario genere che possono essere anche prodotti finiti, tramite fusione. Sono escluse le seguenti attività: - fabbricazione di prodotti di fusione finiti quali: contenitori per caldaie e radiatori, cfr. 25.21 - fabbricazione di prodotti domestici di fusione, cfr. 25.99",,"- fabbricazione di prodotti di fusione finiti quali: contenitori per caldaie e radiatori, cfr. 25.21 - fabbricazione di prodotti domestici di fusione, cfr. 25.99",,gruppo
C,25.1,fabbricazione di elementi da costruzione in metallo,Questo gruppo include la fabbricazione di elementi da costruzione in metallo (quali strutture metalliche o parti di costruzioni).,,,,gruppo
C,25.2,"fabbricazione di cisterne, serbatoi, radiatori e contenitori in metallo","Questo gruppo include la fabbricazione di serbatoi, cisterne, radiatori per riscaldamento e contenitori in metallo.",,,,gruppo
C,25.3,fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda),,,,,gruppo
C,25.4,fabbricazione di armi e munizioni,,,,,gruppo
C,25.5,"fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri","Questo gruppo include le attività generali di lavorazione dei metalli, quali la fucinatura o lo stampaggio.",,,,gruppo
C,25.6,trattamento e rivestimento dei metalli; lavori di meccanica generale,"Questo gruppo include le attività generali di lavorazione dei metalli, quali placcatura, rivestimento, incisione, alesatura, lucidatura, saldatura eccetera.",,,,gruppo
C,25.7,"fabbricazione di articoli di coltelleria, utensili e oggetti di ferramenta","Questo gruppo include la fabbricazione di articoli di coltelleria, utensili metallici ed oggetti di uso generale.",,,,gruppo
C,25.9,fabbricazione di altri prodotti in metallo,"Questo gruppo include la fabbricazione di vari prodotti in metallo per uso domestico e per l'industria, quali lattine e bidoni; chiodi, viti e dadi; attrezzi di fissaggio; eliche ed ancore per navi; strutture assemblate per linee ferroviarie eccetera.",,,,gruppo
C,26.1,fabbricazione di componenti elettronici e schede elettroniche,,,,,gruppo
C,26.2,fabbricazione di computer e unità periferiche,,,,,gruppo
C,26.3,fabbricazione di apparecchiature per le telecomunicazioni,,,,,gruppo
C,26.4,fabbricazione di prodotti di elettronica di consumo audio e video,,,,,gruppo
C,26.5,"fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione; orologi","Questo gruppo include la fabbricazione di strumenti di misurazione, prova e navigazione per scopi industriali o non, inclusi gli strumenti per la misurazione del tempo come orologi e simili.",,,,gruppo
C,26.6,"fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche",,,,,gruppo
C,26.7,fabbricazione di strumenti ottici e attrezzature fotografiche,,,,,gruppo
C,26.8,fabbricazione di supporti magnetici ed ottici,,,,,gruppo
C,27.1,"fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","Questo gruppo comprende la fabbricazione di trasformatori di potenza, di distribuzione; motori, generatori, insiemi di generatori a motore elettrici.",,,,gruppo
C,27.2,fabbricazione di batterie di pile ed accumulatori elettrici,,,,,gruppo
C,27.3,fabbricazione di cablaggi e apparecchiature di cablaggio,"Questo gruppo include la fabbricazione di apparati di cablaggio per il trasporto di corrente elettrica o altro, utilizzati per i circuiti elettrici indipendentemente dal materiale impiegato. Questo gruppo include anche l'isolamento di fili elettrici e la fabbricazione di cavi a fibra ottica.",,,,gruppo
C,27.4,fabbricazione di apparecchiature per illuminazione,,,,,gruppo
C,27.5,fabbricazione di apparecchi per uso domestico,"Questo gruppo include la fabbricazione di piccoli elettrodomestici, ventilatori d'aria per uso domestico, aspirapolveri, lucidatrici elettriche, apparecchi per cucinare, lavatrici, frigoriferi, congelatori a colonna e a pozzetto ed altri apparecchi elettrici o non elettrici per uso domestico, quali lavastoviglie, scaldacqua, tritarifiuti",,,,gruppo
C,27.9,fabbricazione di altre apparecchiature elettriche,,,,,gruppo
C,28.1,fabbricazione di macchine di impiego generale,,,,,gruppo
C,28.2,fabbricazione di altre macchine di impiego generale,,,,,gruppo
C,28.3,fabbricazione di macchine per l'agricoltura e la silvicoltura,,,,,gruppo
C,28.4,fabbricazione di macchine per la formatura dei metalli e di altre macchine utensili,"Questo gruppo include la fabbricazione di macchine per la formatura dei metalli e di macchine utensili, per esempio macchine utensili per la lavorazione dei metalli e di altri materiali (legno, osso, pietra, gomma indurita, plastiche dure, vetro lavorato a freddo) incluse quelle che utilizzano raggi laser, onde ad ultrasuoni, arco a plasma, impulsi magnetici eccetera.",,,,gruppo
C,28.9,fabbricazione di altre macchine per impieghi speciali,"Questo gruppo include la fabbricazione di macchine per impieghi speciali, ossia macchine utilizzate esclusivamente in una specifica attività economica. Questo gruppo include anche la fabbricazione di macchinari specifici per altre industrie non manifatturiere, come le catapulte per il lancio di aerei imbarcati o le attrezzature per i parchi di divertimento.",,,,gruppo
C,29.1,fabbricazione di autoveicoli,,,,,gruppo
C,29.2,"fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",,,,,gruppo
C,29.3,fabbricazione di parti ed accessori per autoveicoli e loro motori,,,,,gruppo
C,30.1,costruzione di navi e imbarcazioni,"Questo gruppo include la costruzione di navi, imbarcazioni ed altre strutture galleggianti per il trasporto e per altri scopi commerciali, nonché per diporto o attività sportive.",,,,gruppo
C,30.2,costruzione di locomotive e di materiale rotabile ferro-tranviario,,,,,gruppo
C,30.3,"fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",,,,,gruppo
C,30.4,fabbricazione di veicoli militari da combattimento,,,,,gruppo
C,30.9,fabbricazione di mezzi di trasporto n.c.a.,"Questo gruppo include la fabbricazione di mezzi di trasporto per uso civile e militare diversi da autoveicoli o mezzi ferroviari, imbarcazioni, attrezzatura per il trasporto aereo o spaziale e veicoli militari.",,,,gruppo
C,31.0,fabbricazione di mobili,,,,,gruppo
C,32.1,"fabbricazione di gioielleria, bigiotteria e articoli connessi; lavorazione delle pietre preziose",Questo gruppo include la fabbricazione di gioielleria e articoli di imitazione di gioielleria.,,,,gruppo
C,32.2,fabbricazione di strumenti musicali,,,,,gruppo
C,32.3,fabbricazione di articoli sportivi,,,,,gruppo
C,32.4,fabbricazione di giochi e giocattoli,,,,,gruppo
C,32.5,fabbricazione di strumenti e forniture mediche e dentistiche,,,,,gruppo
C,32.9,industrie manifatturiere n.c.a.,,,,,gruppo
C,33.1,"riparazione e manutenzione di prodotti in metallo, macchine ed apparecchiature","Questo gruppo include la riparazione e la manutenzione da parte di unità specializzate di beni prodotti dal settore manifatturiero, con l'obiettivo di ripristinare le funzionalità di macchine, apparecchiature ed altri prodotti. Il gruppo include l'erogazione di servizi di manutenzione generale o ordinaria (inclusi i servizi di assistenza) destinata a tali prodotti, mirata a garantirne l'efficienza lavorativa e a prevenirne i guasti o le riparazioni non necessarie. Sono escluse le seguenti attività: - ricostruzione o rifabbricazione di macchine ed apparecchiature, cfr. classe corrispondente nelle divisioni 25-30 - pulizia di macchine industriali, cfr. 81.22 - riparazione e manutenzione di computer ed apparecchiature per le comunicazioni, cfr. 95.1 - riparazione e manutenzione di beni per uso personale e per la casa, cfr. 95.2",,"- ricostruzione o rifabbricazione di macchine ed apparecchiature, cfr. classe corrispondente nelle divisioni 25-30 - pulizia di macchine industriali, cfr. 81.22 - riparazione e manutenzione di computer ed apparecchiature per le comunicazioni, cfr. 95.1 - riparazione e manutenzione di beni per uso personale e per la casa, cfr. 95.2",,gruppo
C,33.2,installazione di macchine ed apparecchiature industriali,,,,,gruppo
D,35.1,"produzione, trasmissione e distribuzione di energia elettrica","Questo gruppo include la produzione di energia elettrica, nonché la trasmissione dalle centrali di produzione ai centri di distribuzione e la distribuzione agli utenti finali.",,,,gruppo
D,35.2,produzione di gas; distribuzione di combustibili gassosi mediante condotte,"Questo gruppo include la produzione di gas e la distribuzione di gas naturale o sintetico agli utenti finali mediante un sistema di condotte. Sono inclusi in questo gruppo gli agenti o gli intermediari che organizzano la vendita di gas naturale all'interno di sistemi di distribuzione gestiti da terzi. Dal gruppo è esclusa la gestione separata di gasdotti, che coprono generalmente lunghe distanze e che collegano le aziende produttrici ai distributori di gas o ai centri urbani ed è classificata insieme ad altre attività di trasporto realizzate mediante condotte o tubazioni (cfr. 49.50).",,,,gruppo
D,35.3,fornitura di vapore e aria condizionata,,,,,gruppo
E,36.0,"raccolta, trattamento e fornitura di acqua",,,,,gruppo
E,37.0,gestione delle reti fognarie,,,,,gruppo
E,38.1,raccolta dei rifiuti,"Questo gruppo include la raccolta di rifiuti provenienti da famiglie e aziende tramite bidoni per la spazzatura, bidoni su ruote, container eccetera. È inclusa la raccolta di rifiuti pericolosi e non pericolosi, ad esempio rifiuti domestici, batterie usate, oli e grassi per cucina usati, oli di scarto provenienti dalle navi e oli esausti provenienti da autofficine, nonché rifiuti da costruzione e demolizione.",,,,gruppo
E,38.2,trattamento e smaltimento dei rifiuti,"Questo gruppo include lo smaltimento e il trattamento che precede lo smaltimento di varie forme di rifiuti tramite differenti modalità, come il trattamento di rifiuti organici a scopo di smaltimento; il trattamento e lo smaltimento di animali infettivi, vivi o morti, e di altri rifiuti contaminati; il trattamento e lo smaltimento di residui radioattivi di transizione provenienti da ospedali eccetera; il conferimento a discariche o in acqua; l'interramento dei rifiuti; lo smaltimento di beni usati quali frigoriferi, per smaltire i rifiuti tossici; lo smaltimento dei rifiuti tramite incenerimento o combustione. Sono escluse le seguenti attività: - trattamento e smaltimento delle acque reflue, cfr. 37.00 - recupero dei materiali, cfr. 38.3",,"- trattamento e smaltimento delle acque reflue, cfr. 37.00 - recupero dei materiali, cfr. 38.3",,gruppo
E,38.3,recupero dei materiali,"Da questo gruppo è esclusa la fabbricazione di nuovi prodotti finiti (fabbricati o meno in proprio) a partire da materie prime secondarie, come ad esempio la fabbricazione di filati provenienti da garnettatura, fabbricazione della pasta-carta proveniente da rifiuti di carta, rigenerazione di pneumatici o produzione di metalli provenienti da rifiuti metallici, cfr. classi corrispondenti nella sezione C (Attività manifatturiere).",,,,gruppo
E,39.0,attività di risanamento e altri servizi di gestione dei rifiuti,,,,,gruppo
F,41.1,sviluppo di progetti immobiliari,,,,,gruppo
F,41.2,costruzione di edifici residenziali e non residenziali,"Questo gruppo include la costruzione completa di edifici residenziali o non residenziali eseguiti per conto proprio o per conto terzi e poi venduti. La realizzazione della costruzione, in parte o nella sua totalità può essere data in affidamento all'esterno (outsourcing). È incluso lo sviluppo di progetti immobiliari con costruzione. Se si effettuano solo parti specifiche del processo di costruzione, l'attività è classificata nella divisione 43.",,,,gruppo
F,42.1,costruzione di strade e ferrovie,,,,,gruppo
F,42.2,costruzione di opere di pubblica utilità,,,,,gruppo
F,42.9,costruzione di altre opere di ingegneria civile,,,,,gruppo
F,43.1,demolizione e preparazione del cantiere edile,"Questo gruppo include le attività di preparazione di un cantiere edile per i successivi lavori di costruzione, inclusa la rimozione di strutture preesistenti.",,,,gruppo
F,43.2,"installazione di impianti elettrici, idraulici ed altri lavori di costruzione e installazione","Questo gruppo include le attività di installazione di servizi che supportano il funzionamento di un edificio inclusa l'installazione di impianti elettrici, idraulici (acqua, gas e sistemi di fognatura), impianti di riscaldamento e condizionamento dell'aria, ascensori eccetera.",,,,gruppo
F,43.3,completamento e finitura di edifici,,,,,gruppo
F,43.9,altri lavori specializzati di costruzione,,,,,gruppo
G,45.1,commercio di autoveicoli,,,,,gruppo
G,45.2,manutenzione e riparazione di autoveicoli,,,,,gruppo
G,45.3,commercio di parti e accessori di autoveicoli,"Questo gruppo include: commercio all'ingrosso e al dettaglio di tutti i tipi di parti, componenti, forniture, strumenti ed accessori per autoveicoli, quali: copertoni in gomma e camere d'aria per pneumatici, candele, batterie, impianti di illuminazione e parti elettriche. È incluso anche il commercio per corrispondenza e via internet.",,,,gruppo
G,45.4,"commercio, manutenzione e riparazione di motocicli e relative parti ed accessori",,,,,gruppo
G,46.1,intermediari del commercio,"Questo gruppo include: - attività di operatori di borsa merci, commercianti che effettuano operazioni commerciali a nome e per conto di terzi - attività dei rappresentanti del commercio e intermediari che effettuano transazioni commerciali a nome di un mandante, anche via internet Sono escluse le seguenti attività: - commercio all'ingrosso per proprio conto, cfr. da 46.2 a 46.9 - commercio al dettaglio effettuato per mezzo di agenti al di fuori di negozi, cfr. 47.99 - attività degli agenti di assicurazione, cfr. 66.22 - attività degli agenti immobiliari, cfr. 68.31",,"- commercio all'ingrosso per proprio conto, cfr. da 46.2 a 46.9 - commercio al dettaglio effettuato per mezzo di agenti al di fuori di negozi, cfr. 47.99 - attività degli agenti di assicurazione, cfr. 66.22 - attività degli agenti immobiliari, cfr. 68.31",,gruppo
G,46.2,commercio all'ingrosso di materie prime agricole e di animali vivi,,,,,gruppo
G,46.3,"commercio all'ingrosso di prodotti alimentari, bevande e prodotti del tabacco",,,,,gruppo
G,46.4,commercio all'ingrosso di beni di consumo finale,"Questo gruppo include il commercio all'ingrosso di beni di consumo finale, inclusi i prodotti tessili.",,,,gruppo
G,46.5,commercio all'ingrosso di apparecchiature ict,"Questo gruppo include il commercio all'ingrosso di apparecchiature per l'informazione e comunicazione tecnologica (ICT) come computer, attrezzature per telecomunicazioni compreso parti e accessori.",,,,gruppo
G,46.6,"commercio all'ingrosso di altri macchinari, attrezzature e forniture","Questo gruppo include il commercio all'ingrosso di macchinari, attrezzature e forniture per tutti i tipi di industrie e di macchinari di impiego generale.",,,,gruppo
G,46.7,commercio all'ingrosso specializzato di altri prodotti,"Questo gruppo include altre attività di commercio all'ingrosso specializzato non classificate in altri gruppi di questa divisione. È incluso anche il commercio all'ingrosso di prodotti intermedi, esclusi quelli agricoli, generalmente non destinati all'impiego domestico.",,,,gruppo
G,46.9,commercio all'ingrosso non specializzato,,,,,gruppo
G,47.1,commercio al dettaglio in esercizi non specializzati,"Questo gruppo include la vendita al dettaglio di diverse tipologie di prodotti presenti all'interno di uno stesso esercizio (non specializzato), come supermercati o grandi magazzini.",,,,gruppo
G,47.2,"commercio al dettaglio di prodotti alimentari, bevande e tabacco in esercizi specializzati",,,,,gruppo
G,47.3,commercio al dettaglio di carburante per autotrazione in esercizi specializzati,,,,,gruppo
G,47.4,commercio al dettaglio di apparecchiature informatiche e per le telecomunicazioni (ict) in esercizi specializzati,"Questo gruppo include la vendita al dettaglio in esercizi specializzati di apparecchiature informatiche e per telecomunicazioni (ICT), quali computer, periferiche, attrezzature per le telecomunicazioni ed elettronica di consumo audio e video.",,,,gruppo
G,47.5,commercio al dettaglio di altri prodotti per uso domestico in esercizi specializzati,"Questo gruppo include la vendita al dettaglio in esercizi specializzati di articoli per la casa, quali tessili, ferramenta, tappeti, forniture elettriche o mobili.",,,,gruppo
G,47.6,commercio al dettaglio di articoli culturali e ricreativi in esercizi specializzati,"Questo gruppo include la vendita al dettaglio in esercizi specializzati di articoli culturali e ricreativi, quali libri, giornali, registrazioni musicali e video, articoli sportivi, giochi e giocattoli.",,,,gruppo
G,47.7,commercio al dettaglio di altri prodotti in esercizi specializzati,"Questo gruppo include la vendita in esercizi specializzati che offrono una particolare linea di prodotti non compresi in altre parti di questa classificazione, quali articoli di abbigliamento, calzature ed articoli in pelle, prodotti farmaceutici e medicali, orologi, souvenir, materiali per la pulizia, armi, fiori, animali da compagnia e altro. È compresa anche la vendita al dettaglio di articoli di seconda mano in esercizi specializzati.",,,,gruppo
G,47.8,commercio al dettaglio ambulante,"Commercio al dettaglio di articoli nuovi o usati in banchi, di solito smontabili, collocati su una strada pubblica oppure in un posto fisso all'interno di un mercato",,,,gruppo
G,47.9,"commercio al dettaglio al di fuori di negozi, banchi e mercati","Questo gruppo include le attività di vendita al dettaglio tramite corrispondenza, via internet, vendita porta a porta, distributori automatici eccetera.",,,,gruppo
H,49.1,trasporto ferroviario di passeggeri (interurbano),,,,,gruppo
H,49.2,trasporto ferroviario di merci,,,,,gruppo
H,49.3,altri trasporti terrestri di passeggeri,Questo gruppo include tutte le attività di trasporto terrestre di passeggeri (esclusi i trasporti ferroviari). Tuttavia in questo gruppo è incluso il trasporto su rotaia effettuato come parte del sistema di trasporto urbano o suburbano.,,,esclusi i trasporti ferroviari,gruppo
H,49.4,trasporto di merci su strada e servizi di trasloco,Questo gruppo include tutti i tipi di trasporto terrestre di merci (esclusi i trasporti ferroviari).,,,esclusi i trasporti ferroviari,gruppo
H,49.5,trasporto mediante condotte,,,,,gruppo
H,50.1,trasporto marittimo e costiero di passeggeri,Questo gruppo include il trasporto di passeggeri effettuato su natanti progettati per navigare in mare aperto o in acque costiere.,,,,gruppo
H,50.2,trasporto marittimo e costiero di merci,Questo gruppo include il trasporto di merci su natanti progettati per navigare in mare aperto e in acque costiere.,,,,gruppo
H,50.3,trasporto di passeggeri per vie d'acqua interne,,,,,gruppo
H,50.4,trasporto di merci per vie d'acqua interne,,,,,gruppo
H,51.1,trasporto aereo di passeggeri,,,,,gruppo
H,51.2,trasporto aereo di merci e trasporto spaziale,,,,,gruppo
H,52.1,magazzinaggio e custodia,,,,,gruppo
H,52.2,attività di supporto ai trasporti,"Questo gruppo include le attività di supporto al trasporto di passeggeri o merci, quali la gestione di parti delle infrastrutture o delle attività legate alla movimentazione delle merci, effettuate immediatamente prima o dopo un'operazione di trasporto, o durante le successive tappe del trasporto. È inclusa l'attività delle biglietterie diverse dalle agenzie di viaggio. È escluso il servizio di radiocontrollo satellitare dei mezzi di trasporto, cfr. 80.20",,,,gruppo
H,53.1,attività postali con obbligo di servizio universale,,,,,gruppo
H,53.2,altre attività postali e di corriere,,,,,gruppo
I,55.1,alberghi e strutture simili,,,,,gruppo
I,55.2,alloggi per vacanze e altre strutture per brevi soggiorni,,,,,gruppo
I,55.3,aree di campeggio e aree attrezzate per camper e roulotte,,,,,gruppo
I,55.9,altri alloggi,,,,,gruppo
I,56.1,ristoranti e attività di ristorazione mobile,,,,,gruppo
I,56.2,fornitura di pasti preparati (catering) e altri servizi di ristorazione,"Questo gruppo include la fornitura di pasti preparati (catering) per eventi individuali o per un determinato periodo di tempo, nonché la gestione di esercizi di ristorazione in concessione.",,,,gruppo
I,56.3,bar e altri esercizi simili senza cucina,,,,,gruppo
