main,code,level,title,description,descriptor,exclusion_list,exclusion_description,exclusion_title
C,12,divisione,industria del tabacco,"Questa divisione include la trasformazione di un prodotto agricolo, il tabacco, in una forma adatta al consumo finale.","# industria del tabacco

Questa divisione include la trasformazione di un prodotto agricolo, il tabacco, in una forma adatta al consumo finale.
",,,
C,13,divisione,industrie tessili,"Questa divisione include la preparazione e la filatura di fibre tessili compresa la tessitura di materie tessili, il finissaggio dei tessili e degli articoli di vestiario, la fabbricazione di articoli in tessuto, diversi dagli articoli di vestiario (ad esempio: biancheria da casa, coperte, scendiletto, corde eccetera). La coltivazione di piante produttrici di fibre naturali rientra nella divisione 01, mentre la fabbricazione di fibre artificiali e sintetiche è un processo chimico che va classificato nella classe 20.60. La fabbricazione di articoli di vestiario rientra nella divisione 14.","# industrie tessili

Questa divisione include la preparazione e la filatura di fibre tessili compresa la tessitura di materie tessili, il finissaggio dei tessili e degli articoli di vestiario, la fabbricazione di articoli in tessuto, diversi dagli articoli di vestiario (ad esempio: biancheria da casa, coperte, scendiletto, corde eccetera). La coltivazione di piante produttrici di fibre naturali rientra nella divisione 01, mentre la fabbricazione di fibre artificiali e sintetiche è un processo chimico che va classificato nella classe 20.60. La fabbricazione di articoli di vestiario rientra nella divisione 14.
",,,
C,14,divisione,confezione di articoli di abbigliamento; confezione di articoli in pelle e pelliccia,"Questa divisione include tutti i tipi di sartoria (abiti confezionati o su misura), in qualsiasi materiale (ad esempio: pelle, tessuto, tessuti a maglia eccetera), tutti gli articoli di abbigliamento (ad esempio: indumenti esterni, biancheria per uomo, donna e bambino; indumenti da lavoro, abbigliamento da città o casual eccetera) e gli accessori. Non viene fatta distinzione tra abbigliamento per adulti e per bambini, o tra abbigliamento moderno e classico. La divisione 14 include anche il confezionamento di articoli in pelliccia. È escluso il finissaggio degli articoli di abbigliamento (cfr. 13.30).","# confezione di articoli di abbigliamento; confezione di articoli in pelle e pelliccia

Questa divisione include tutti i tipi di sartoria (abiti confezionati o su misura), in qualsiasi materiale (ad esempio: pelle, tessuto, tessuti a maglia eccetera), tutti gli articoli di abbigliamento (ad esempio: indumenti esterni, biancheria per uomo, donna e bambino; indumenti da lavoro, abbigliamento da città o casual eccetera) e gli accessori. Non viene fatta distinzione tra abbigliamento per adulti e per bambini, o tra abbigliamento moderno e classico. La divisione 14 include anche il confezionamento di articoli in pelliccia. È escluso il finissaggio degli articoli di abbigliamento (cfr. 13.30).
",,,
C,15,divisione,fabbricazione di articoli in pelle e simili,"Questa divisione include la preparazione e la tintura di pellicce, la trasformazione delle pelli in cuoio tramite trattamento o conciatura e la fabbricazione in cuoio di articoli destinati al consumo finale. La divisione include anche la fabbricazione di prodotti simili ottenuti con altri materiali (imitazione di pelliccia o similpelle), come scarpe in gomma, valigie in fibra tessile eccetera. I prodotti ottenuti utilizzando il similpelle sono inclusi in questa divisione, in quanto sono lavorati in modo simile a quelli lavorati in pelle (ad esempio valigie) e spesso sono prodotti nella stessa unità.","# fabbricazione di articoli in pelle e simili

Questa divisione include la preparazione e la tintura di pellicce, la trasformazione delle pelli in cuoio tramite trattamento o conciatura e la fabbricazione in cuoio di articoli destinati al consumo finale. La divisione include anche la fabbricazione di prodotti simili ottenuti con altri materiali (imitazione di pelliccia o similpelle), come scarpe in gomma, valigie in fibra tessile eccetera. I prodotti ottenuti utilizzando il similpelle sono inclusi in questa divisione, in quanto sono lavorati in modo simile a quelli lavorati in pelle (ad esempio valigie) e spesso sono prodotti nella stessa unità.
",,,
C,16,divisione,industria del legno e dei prodotti in legno e sughero (esclusi i mobili); fabbricazione di articoli in paglia e materiali da intreccio,"Questa divisione include la fabbricazione di prodotti in legno, quali legname da costruzione, compensato, fogli da impiallacciatura, contenitori in legno, pavimenti in legno, capriate in legno ed edifici prefabbricati in legno. Le operazioni di produzione comprendono il taglio, la piallatura, la sagomatura, la laminatura, l'assemblaggio di prodotti in legno a partire da tronchi tagliati in travi o da legname da costruzione che può essere ulteriormente tagliato o sagomato da torni o altri utensili. Il legname da costruzione o gli altri elementi in legno trasformati possono essere ulteriormente piallati o levigati e montati in prodotti finiti come i contenitori in legno. Ad eccezione delle segherie la divisione è organizzata principalmente in base ai prodotti specifici fabbricati. Nella divisione non è inclusa la fabbricazione di mobili (31.0), né la posa in opera di articoli in legno e simili.","# industria del legno e dei prodotti in legno e sughero (esclusi i mobili); fabbricazione di articoli in paglia e materiali da intreccio

Questa divisione include la fabbricazione di prodotti in legno, quali legname da costruzione, compensato, fogli da impiallacciatura, contenitori in legno, pavimenti in legno, capriate in legno ed edifici prefabbricati in legno. Le operazioni di produzione comprendono il taglio, la piallatura, la sagomatura, la laminatura, l'assemblaggio di prodotti in legno a partire da tronchi tagliati in travi o da legname da costruzione che può essere ulteriormente tagliato o sagomato da torni o altri utensili. Il legname da costruzione o gli altri elementi in legno trasformati possono essere ulteriormente piallati o levigati e montati in prodotti finiti come i contenitori in legno. Ad eccezione delle segherie la divisione è organizzata principalmente in base ai prodotti specifici fabbricati. Nella divisione non è inclusa la fabbricazione di mobili (31.0), né la posa in opera di articoli in legno e simili.
",,,
C,17,divisione,fabbricazione di carta e di prodotti di carta,"Questa divisione include la fabbricazione di pasta- carta, carta e prodotti di carta trasformati. La fabbricazione di tali prodotti è raggruppata insieme in quanto si tratta di una serie di processi integrati verticalmente. Una stessa unità spesso effettua più di una attività. Le attività sono essenzialmente tre: la fabbricazione di pasta-carta, che comporta la separazione delle fibre di cellulosa dalle altre impurità del legno o della carta usata; la fabbricazione di carta, che comporta la finitura di tali fibre in fogli; la trasformazione e la lavorazione di prodotti di carta e cartone, fatte con tecniche e l'apporto di materiali diversi. La fabbricazione di articoli di carta stampata (ad esempio: carta da parati, carta da regalo eccetera) è compresa in questa divisione a condizione che l'attività di stampa non costituisca lo scopo principale. La produzione di pasta-carta, carta e cartone in forma grezza è inclusa nel gruppo 17.1, mentre il gruppo 17.2 include la produzione di carta e prodotti in carta sottoposti a un'ulteriore lavorazione.","# fabbricazione di carta e di prodotti di carta

Questa divisione include la fabbricazione di pasta- carta, carta e prodotti di carta trasformati. La fabbricazione di tali prodotti è raggruppata insieme in quanto si tratta di una serie di processi integrati verticalmente. Una stessa unità spesso effettua più di una attività. Le attività sono essenzialmente tre: la fabbricazione di pasta-carta, che comporta la separazione delle fibre di cellulosa dalle altre impurità del legno o della carta usata; la fabbricazione di carta, che comporta la finitura di tali fibre in fogli; la trasformazione e la lavorazione di prodotti di carta e cartone, fatte con tecniche e l'apporto di materiali diversi. La fabbricazione di articoli di carta stampata (ad esempio: carta da parati, carta da regalo eccetera) è compresa in questa divisione a condizione che l'attività di stampa non costituisca lo scopo principale. La produzione di pasta-carta, carta e cartone in forma grezza è inclusa nel gruppo 17.1, mentre il gruppo 17.2 include la produzione di carta e prodotti in carta sottoposti a un'ulteriore lavorazione.
",,,
C,18,divisione,stampa e riproduzione di supporti registrati,"Questa divisione include le attività di stampa di quotidiani, libri, periodici, moduli commerciali, biglietti d'auguri e altro materiale; sono comprese anche le attività di supporto, quali la legatoria, la preparazione di lastre e l'elaborazione elettronica di testi e immagini. Le attività di supporto che rientrano in questa divisione costituiscono parte integrante dell'industria grafica in quanto il risultato di tali operazioni è un prodotto (lastre da stampa, libri rilegati, dischi o file per computer) che costituisce parte integrante dell'industria grafica. I processi utilizzati nella stampa comprendono vari metodi per trasferire un'immagine da una lastra, da uno schermo o da un supporto informatico ad un supporto di carta, plastica, metallo, tessuto o legno. Il metodo più importante consiste nel trasferire l'immagine da una lastra o uno schermo al supporto mediante un procedimento di stampa offset, rotocalcografia, serigrafia, flessografia. Spesso il supporto informatico viene utilizzato per creare un testo o un'immagine che vengono stampati mediante sistemi di stampa elettronici (stampanti laser o inkjet). Questa divisione include anche la riproduzione di supporti di registrazione come compact disc, registrazioni video, software su disco o nastro, dischi eccetera. Sono escluse le seguenti attività: - attività di editoria, cfr. sezione J","# stampa e riproduzione di supporti registrati

Questa divisione include le attività di stampa di quotidiani, libri, periodici, moduli commerciali, biglietti d'auguri e altro materiale; sono comprese anche le attività di supporto, quali la legatoria, la preparazione di lastre e l'elaborazione elettronica di testi e immagini. Le attività di supporto che rientrano in questa divisione costituiscono parte integrante dell'industria grafica in quanto il risultato di tali operazioni è un prodotto (lastre da stampa, libri rilegati, dischi o file per computer) che costituisce parte integrante dell'industria grafica. I processi utilizzati nella stampa comprendono vari metodi per trasferire un'immagine da una lastra, da uno schermo o da un supporto informatico ad un supporto di carta, plastica, metallo, tessuto o legno. Il metodo più importante consiste nel trasferire l'immagine da una lastra o uno schermo al supporto mediante un procedimento di stampa offset, rotocalcografia, serigrafia, flessografia. Spesso il supporto informatico viene utilizzato per creare un testo o un'immagine che vengono stampati mediante sistemi di stampa elettronici (stampanti laser o inkjet). Questa divisione include anche la riproduzione di supporti di registrazione come compact disc, registrazioni video, software su disco o nastro, dischi eccetera. Sono escluse le seguenti attività: - attività di editoria, cfr. sezione J

Questa sezione ATECO non comprende le seguenti attività:

- attività di editoria, cfr. sezione J, 
","- attività di editoria, cfr. sezione J",,
C,19,divisione,fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,"Questa divisione include la trasformazione del petrolio greggio e del carbon fossile in prodotti utilizzabili. Il processo principale è rappresentato dalla raffinazione del petrolio che comporta la separazione del greggio nei suoi componenti per mezzo di tecniche quali la piroscissione e la distillazione. Questa divisione include inoltre la fabbricazione per conto proprio di prodotti caratteristici (ad esempio: coke, butano, propano, benzina, cherosene, olio combustibile eccetera) e di servizi di trasformazione (ad esempio la raffinazione su richiesta del cliente). Questa divisione include la fabbricazione di gas come etano, propano e butano come prodotti delle raffinerie di petrolio. Non è inclusa la fabbricazione di tali gas nelle industrie chimiche (cfr. 20.14), la fabbricazione di gas industriali (cfr. 20.11), l'estrazione di gas naturale (metano, etano, butano o propano) (cfr. 06.20), e la fabbricazione di gas combustibile non petrolifero (ad esempio gas prodotti dalla carbonizzazione del carbone, dai sottoprodotti dell'agricoltura o da rifiuti) (cfr. 35.21). Le unità che fabbricano prodotti petrolchimici a partire dal petrolio raffinato sono classificate nella divisione 20.","# fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio

Questa divisione include la trasformazione del petrolio greggio e del carbon fossile in prodotti utilizzabili. Il processo principale è rappresentato dalla raffinazione del petrolio che comporta la separazione del greggio nei suoi componenti per mezzo di tecniche quali la piroscissione e la distillazione. Questa divisione include inoltre la fabbricazione per conto proprio di prodotti caratteristici (ad esempio: coke, butano, propano, benzina, cherosene, olio combustibile eccetera) e di servizi di trasformazione (ad esempio la raffinazione su richiesta del cliente). Questa divisione include la fabbricazione di gas come etano, propano e butano come prodotti delle raffinerie di petrolio. Non è inclusa la fabbricazione di tali gas nelle industrie chimiche (cfr. 20.14), la fabbricazione di gas industriali (cfr. 20.11), l'estrazione di gas naturale (metano, etano, butano o propano) (cfr. 06.20), e la fabbricazione di gas combustibile non petrolifero (ad esempio gas prodotti dalla carbonizzazione del carbone, dai sottoprodotti dell'agricoltura o da rifiuti) (cfr. 35.21). Le unità che fabbricano prodotti petrolchimici a partire dal petrolio raffinato sono classificate nella divisione 20.
",,,
C,20,divisione,fabbricazione di prodotti chimici,"Questa divisione include la trasformazione di materiale organico e inorganico grezzo tramite processi chimici e la formazione di prodotti specifici. Si distingue la produzione di elementi chimici di base, che costituiscono il gruppo industriale primario, dalla produzione di prodotti intermedi e finali ottenuti tramite un'ulteriore lavorazione degli elementi chimici di base.","# fabbricazione di prodotti chimici

Questa divisione include la trasformazione di materiale organico e inorganico grezzo tramite processi chimici e la formazione di prodotti specifici. Si distingue la produzione di elementi chimici di base, che costituiscono il gruppo industriale primario, dalla produzione di prodotti intermedi e finali ottenuti tramite un'ulteriore lavorazione degli elementi chimici di base.
",,,
C,21,divisione,fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,Questa divisione include la fabbricazione di prodotti e preparati farmaceutici di base. È inclusa anche la fabbricazione di prodotti chimici e botanici per usi medicinali.,"# fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici

Questa divisione include la fabbricazione di prodotti e preparati farmaceutici di base. È inclusa anche la fabbricazione di prodotti chimici e botanici per usi medicinali.
",,,
C,22,divisione,fabbricazione di articoli in gomma e materie plastiche,"Questa divisione include la fabbricazione di articoli in gomma e materie plastiche. La divisione è caratterizzata dalle materie prime impiegate nel processo di fabbricazione. Tuttavia, ciò non implica che la fabbricazione di tutti i prodotti realizzati con questi materiali sia classificata in questa divisione.","# fabbricazione di articoli in gomma e materie plastiche

Questa divisione include la fabbricazione di articoli in gomma e materie plastiche. La divisione è caratterizzata dalle materie prime impiegate nel processo di fabbricazione. Tuttavia, ciò non implica che la fabbricazione di tutti i prodotti realizzati con questi materiali sia classificata in questa divisione.
",,,
C,23,divisione,fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,"Questa divisione include le attività relative alla lavorazione di sostanze singole di origine minerale. La divisione include la fabbricazione di vetro e di prodotti in vetro (ad esempio: vetro piano, vetro cavo, fibre di vetro, vetro per usi tecnici eccetera), prodotti in ceramica, mattonelle e prodotti in terracotta, cemento e gesso, dai materiali grezzi fino agli articoli finiti. La fabbricazione di pietra lavorata e finita e di altri prodotti minerali è inclusa in questa divisione.","# fabbricazione di altri prodotti della lavorazione di minerali non metalliferi

Questa divisione include le attività relative alla lavorazione di sostanze singole di origine minerale. La divisione include la fabbricazione di vetro e di prodotti in vetro (ad esempio: vetro piano, vetro cavo, fibre di vetro, vetro per usi tecnici eccetera), prodotti in ceramica, mattonelle e prodotti in terracotta, cemento e gesso, dai materiali grezzi fino agli articoli finiti. La fabbricazione di pietra lavorata e finita e di altri prodotti minerali è inclusa in questa divisione.
",,,
C,24,divisione,metallurgia,"Nella divisione sono comprese le attività di fusione e/o affinazione di metalli ferrosi e non ferrosi a partire da minerali, lingotti metallici o rottame metallico, con tecniche elettrometallurgiche ed altre tecniche metallurgiche. Rientra in questa divisione anche la produzione di leghe e superleghe di metalli, con l'aggiunta nei metalli puri di altri elementi chimici. I prodotti ottenuti dalla fusione e dalla affinazione, generalmente in forma di lingotti vengono trasformati con processo di laminazione, trafilatura ed estrusione in lamiere, nastri, barre, tondi o vergella e in forma fusa, per realizzare pezzi di fonderia e altri prodotti metallici.","# metallurgia

Nella divisione sono comprese le attività di fusione e/o affinazione di metalli ferrosi e non ferrosi a partire da minerali, lingotti metallici o rottame metallico, con tecniche elettrometallurgiche ed altre tecniche metallurgiche. Rientra in questa divisione anche la produzione di leghe e superleghe di metalli, con l'aggiunta nei metalli puri di altri elementi chimici. I prodotti ottenuti dalla fusione e dalla affinazione, generalmente in forma di lingotti vengono trasformati con processo di laminazione, trafilatura ed estrusione in lamiere, nastri, barre, tondi o vergella e in forma fusa, per realizzare pezzi di fonderia e altri prodotti metallici.
",,,
C,25,divisione,fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),"Questa divisione include la fabbricazione di prodotti in metallo (quali parti, contenitori, strutture), generalmente con funzione statica fissa. La fabbricazione di armi e munizioni è inclusa in questa divisione. Sono escluse le seguenti attività: - attività di riparazione e di manutenzione specializzata, cfr. 33.1 - installazione specializzata di beni finali prodotti in questa divisione all'interno di edifici, come le caldaie per il riscaldamento, cfr. 43.22","# fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)

Questa divisione include la fabbricazione di prodotti in metallo (quali parti, contenitori, strutture), generalmente con funzione statica fissa. La fabbricazione di armi e munizioni è inclusa in questa divisione. Sono escluse le seguenti attività: - attività di riparazione e di manutenzione specializzata, cfr. 33.1 - installazione specializzata di beni finali prodotti in questa divisione all'interno di edifici, come le caldaie per il riscaldamento, cfr. 43.22

Questa sezione ATECO non comprende le seguenti attività:

- attività di riparazione e di manutenzione specializzata, cfr. 33.1 - installazione specializzata di beni finali prodotti in questa divisione all'interno di edifici, come le caldaie per il riscaldamento, cfr. 43.22, 
","- attività di riparazione e di manutenzione specializzata, cfr. 33.1 - installazione specializzata di beni finali prodotti in questa divisione all'interno di edifici, come le caldaie per il riscaldamento, cfr. 43.22",,
C,26,divisione,"fabbricazione di computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e di orologi","Questa divisione include la fabbricazione di computer, periferiche informatiche, apparecchi di telecomunicazione, e prodotti di elettronica simili, come pure la fabbricazione di componenti di tali prodotti. I processi di produzione di questa divisione sono caratterizzati dalla progettazione e l'impiego di circuiti integrati e dall'applicazione di tecnologie di miniaturizzazione ad elevata specializzazione. La divisione include anche la fabbricazione di prodotti di elettronica di consumo audio e video, strumenti di misurazione, di navigazione e controllo, strumenti per l'irradiazione, apparecchi elettromedicali ed elettroterapeutici, strumenti ed apparecchiature ottiche, nonché la fabbricazione di supporti magnetici ed ottici.","# fabbricazione di computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e di orologi

Questa divisione include la fabbricazione di computer, periferiche informatiche, apparecchi di telecomunicazione, e prodotti di elettronica simili, come pure la fabbricazione di componenti di tali prodotti. I processi di produzione di questa divisione sono caratterizzati dalla progettazione e l'impiego di circuiti integrati e dall'applicazione di tecnologie di miniaturizzazione ad elevata specializzazione. La divisione include anche la fabbricazione di prodotti di elettronica di consumo audio e video, strumenti di misurazione, di navigazione e controllo, strumenti per l'irradiazione, apparecchi elettromedicali ed elettroterapeutici, strumenti ed apparecchiature ottiche, nonché la fabbricazione di supporti magnetici ed ottici.
",,,
C,27,divisione,fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche,"Questa divisione include la fabbricazione di prodotti che generano, distribuiscono ed utilizzano la corrente elettrica. È, inoltre, inclusa la fabbricazione di sistemi di illuminazione, apparecchi di segnalazione ed elettrodomestici. Sono escluse le seguenti attività: - la fabbricazione di prodotti elettronici (cfr. divisione 26)","# fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche

Questa divisione include la fabbricazione di prodotti che generano, distribuiscono ed utilizzano la corrente elettrica. È, inoltre, inclusa la fabbricazione di sistemi di illuminazione, apparecchi di segnalazione ed elettrodomestici. Sono escluse le seguenti attività: - la fabbricazione di prodotti elettronici (cfr. divisione 26)

Questa sezione ATECO non comprende le seguenti attività:

- la fabbricazione di prodotti elettronici (cfr. divisione 26), 
",- la fabbricazione di prodotti elettronici (cfr. divisione 26),,
C,28,divisione,fabbricazione di macchinari ed apparecchiature n.c.a.,"Questa divisione include la fabbricazione di macchinari ed apparecchiature comprese le rispettive parti meccaniche che intervengono meccanicamente o termicamente sui materiali o sui processi di lavorazione. Questa divisione include apparecchi fissi e mobili o portatili a prescindere dal fatto che siano stati progettati per uso industriale, per l'edilizia e l'ingegneria civile, per uso agricolo o domestico. Inoltre è inclusa in questa divisione la fabbricazione di alcune apparecchiature speciali, per trasporto di passeggeri o merci entro strutture delimitate. Questa divisione opera una distinzione tra la fabbricazione di macchinari per usi speciali, ossia macchinari per uso esclusivo in una specifica attività economica o in piccoli raggruppamenti di attività economiche, e macchinari di impiego generale, ovvero macchinari utilizzabili in una vasta gamma di attività economiche previste nella classificazione Nace. Questa divisione include anche la fabbricazione di macchinari per usi speciali, non presenti altrove in questa classificazione, utilizzati o meno in un processo di fabbricazione, come le apparecchiature utilizzate nei parchi di divertimento, nelle piste automatiche da bowling eccetera. È esclusa la fabbricazione di prodotti in metallo per usi generali (divisione 25), apparecchi di controllo associati, strumenti computerizzati, strumenti di misurazione, apparati di distribuzione e controllo dell'energia elettrica (divisioni 26 e 27) e veicoli a motore per uso generico (divisioni 29 e 30).","# fabbricazione di macchinari ed apparecchiature n.c.a.

Questa divisione include la fabbricazione di macchinari ed apparecchiature comprese le rispettive parti meccaniche che intervengono meccanicamente o termicamente sui materiali o sui processi di lavorazione. Questa divisione include apparecchi fissi e mobili o portatili a prescindere dal fatto che siano stati progettati per uso industriale, per l'edilizia e l'ingegneria civile, per uso agricolo o domestico. Inoltre è inclusa in questa divisione la fabbricazione di alcune apparecchiature speciali, per trasporto di passeggeri o merci entro strutture delimitate. Questa divisione opera una distinzione tra la fabbricazione di macchinari per usi speciali, ossia macchinari per uso esclusivo in una specifica attività economica o in piccoli raggruppamenti di attività economiche, e macchinari di impiego generale, ovvero macchinari utilizzabili in una vasta gamma di attività economiche previste nella classificazione Nace. Questa divisione include anche la fabbricazione di macchinari per usi speciali, non presenti altrove in questa classificazione, utilizzati o meno in un processo di fabbricazione, come le apparecchiature utilizzate nei parchi di divertimento, nelle piste automatiche da bowling eccetera. È esclusa la fabbricazione di prodotti in metallo per usi generali (divisione 25), apparecchi di controllo associati, strumenti computerizzati, strumenti di misurazione, apparati di distribuzione e controllo dell'energia elettrica (divisioni 26 e 27) e veicoli a motore per uso generico (divisioni 29 e 30).
",,,
C,29,divisione,"fabbricazione di autoveicoli, rimorchi e semirimorchi","Questa divisione include la fabbricazione di autoveicoli per il trasporto di passeggeri o merci. È inclusa la fabbricazione di parti ed accessori, nonché la fabbricazione di rimorchi e semi-rimorchi. La manutenzione e la riparazione dei veicoli, prodotti in questa divisione, sono classificate nella classe 45.20.","# fabbricazione di autoveicoli, rimorchi e semirimorchi

Questa divisione include la fabbricazione di autoveicoli per il trasporto di passeggeri o merci. È inclusa la fabbricazione di parti ed accessori, nonché la fabbricazione di rimorchi e semi-rimorchi. La manutenzione e la riparazione dei veicoli, prodotti in questa divisione, sono classificate nella classe 45.20.
",,,
C,30,divisione,fabbricazione di altri mezzi di trasporto,"Questa divisione include la fabbricazione di mezzi di trasporto quali navi ed imbarcazioni, di materiale rotabile ferro-tranviario e locomotive, aeroplani, veicoli spaziali e di loro parti.","# fabbricazione di altri mezzi di trasporto

Questa divisione include la fabbricazione di mezzi di trasporto quali navi ed imbarcazioni, di materiale rotabile ferro-tranviario e locomotive, aeroplani, veicoli spaziali e di loro parti.
",,,
C,31,divisione,fabbricazione di mobili,"Questa divisione include la fabbricazione di mobili e articoli collegati, realizzati in qualsiasi materiale ad esclusione di pietra, cemento e ceramica.","# fabbricazione di mobili

Questa divisione include la fabbricazione di mobili e articoli collegati, realizzati in qualsiasi materiale ad esclusione di pietra, cemento e ceramica.
",,,
C,32,divisione,altre industrie manifatturiere,"Questa divisione include la fabbricazione di beni non compresi altrove in questa classificazione. Poiché si tratta di una divisione residuale, i processi di produzione, le materie prime e l'uso di beni prodotti possono essere molto variabili, di conseguenza non sono stati applicati i normali criteri per raggruppare le classi nelle divisioni.","# altre industrie manifatturiere

Questa divisione include la fabbricazione di beni non compresi altrove in questa classificazione. Poiché si tratta di una divisione residuale, i processi di produzione, le materie prime e l'uso di beni prodotti possono essere molto variabili, di conseguenza non sono stati applicati i normali criteri per raggruppare le classi nelle divisioni.
",,,
C,33,divisione,"riparazione, manutenzione ed installazione di macchine ed apparecchiature","Questa divisione include la riparazione da parte di unità di beni prodotti dal settore manifatturiero, con l'obiettivo di ripristinare le funzionalità di macchine, apparecchiature ed altri prodotti. Questa divisione include l'erogazione di servizi di manutenzione generale o ordinaria (inclusi i servizi di assistenza) destinata a tali prodotti, mirata a garantirne l'efficienza lavorativa e a prevenirne i guasti o le riparazioni non necessarie. Questa divisione include solo le attività di riparazione e manutenzione da parte di unità specializzate. Buona parte delle attività di riparazione sono svolte anche dalle imprese che producono macchine, apparecchiature e altri beni; in questo caso la classificazione delle unità impegnate in tali attività di riparazione e produzione è fatta secondo il principio del valore aggiunto. Dalla divisione è esclusa la ricostruzione di macchine ed apparecchiature. Dalla divisione sono escluse anche la riparazione e la manutenzione di computer ed apparecchiature per le comunicazioni, di beni per uso personale e per la casa e di mobili per ufficio. In questa divisione è anche inclusa l'installazione da parte di unità specializzate di macchine. Tuttavia, l'installazione di apparecchiature che fanno parte integrante di edifici o strutture simili, come l'installazione di impianti elettrici, impianti idraulici (gas, acqua e sistemi di fognatura), impianti di condizionamento dell'aria, ascensori viene classificata nelle costruzioni (cfr. sez. F). Sono escluse le seguenti attività: - pulizia di macchine industriali, cfr. 81.22 - riparazione e manutenzione di computer ed apparecchiature per le comunicazioni, cfr. 95.1 - riparazione e manutenzione di beni per uso personale e per la casa, cfr. 95.2 - riparazione di mobili per ufficio, cfr. 95.24","# riparazione, manutenzione ed installazione di macchine ed apparecchiature

Questa divisione include la riparazione da parte di unità di beni prodotti dal settore manifatturiero, con l'obiettivo di ripristinare le funzionalità di macchine, apparecchiature ed altri prodotti. Questa divisione include l'erogazione di servizi di manutenzione generale o ordinaria (inclusi i servizi di assistenza) destinata a tali prodotti, mirata a garantirne l'efficienza lavorativa e a prevenirne i guasti o le riparazioni non necessarie. Questa divisione include solo le attività di riparazione e manutenzione da parte di unità specializzate. Buona parte delle attività di riparazione sono svolte anche dalle imprese che producono macchine, apparecchiature e altri beni; in questo caso la classificazione delle unità impegnate in tali attività di riparazione e produzione è fatta secondo il principio del valore aggiunto. Dalla divisione è esclusa la ricostruzione di macchine ed apparecchiature. Dalla divisione sono escluse anche la riparazione e la manutenzione di computer ed apparecchiature per le comunicazioni, di beni per uso personale e per la casa e di mobili per ufficio. In questa divisione è anche inclusa l'installazione da parte di unità specializzate di macchine. Tuttavia, l'installazione di apparecchiature che fanno parte integrante di edifici o strutture simili, come l'installazione di impianti elettrici, impianti idraulici (gas, acqua e sistemi di fognatura), impianti di condizionamento dell'aria, ascensori viene classificata nelle costruzioni (cfr. sez. F). Sono escluse le seguenti attività: - pulizia di macchine industriali, cfr. 81.22 - riparazione e manutenzione di computer ed apparecchiature per le comunicazioni, cfr. 95.1 - riparazione e manutenzione di beni per uso personale e per la casa, cfr. 95.2 - riparazione di mobili per ufficio, cfr. 95.24

Questa sezione ATECO non comprende le seguenti attività:

- pulizia di macchine industriali, cfr. 81.22 - riparazione e manutenzione di computer ed apparecchiature per le comunicazioni, cfr. 95.1 - riparazione e manutenzione di beni per uso personale e per la casa, cfr. 95.2 - riparazione di mobili per ufficio, cfr. 95.24, 
","- pulizia di macchine industriali, cfr. 81.22 - riparazione e manutenzione di computer ed apparecchiature per le comunicazioni, cfr. 95.1 - riparazione e manutenzione di beni per uso personale e per la casa, cfr. 95.2 - riparazione di mobili per ufficio, cfr. 95.24",,
D,35,divisione,"fornitura di energia elettrica, gas, vapore e aria condizionata",,"# fornitura di energia elettrica, gas, vapore e aria condizionata


",,,
E,36,divisione,"raccolta, trattamento e fornitura di acqua",,"# raccolta, trattamento e fornitura di acqua


",,,
E,37,divisione,gestione delle reti fognarie,"Questa divisione include la gestione dei sistemi di fognatura o degli impianti di trattamento delle acque reflue che raccolgono, trattano e smaltiscono i reflui.","# gestione delle reti fognarie

Questa divisione include la gestione dei sistemi di fognatura o degli impianti di trattamento delle acque reflue che raccolgono, trattano e smaltiscono i reflui.
",,,
E,38,divisione,"attività di raccolta, trattamento e smaltimento dei rifiuti; recupero dei materiali","Questa divisione include la raccolta, il trattamento e lo smaltimento di rifiuti. È anche incluso il trasporto locale di rifiuti e la gestione di strutture di recupero (ossia le strutture in cui si separano i materiali riciclabili da un insieme composito di rifiuti).","# attività di raccolta, trattamento e smaltimento dei rifiuti; recupero dei materiali

Questa divisione include la raccolta, il trattamento e lo smaltimento di rifiuti. È anche incluso il trasporto locale di rifiuti e la gestione di strutture di recupero (ossia le strutture in cui si separano i materiali riciclabili da un insieme composito di rifiuti).
",,,
E,39,divisione,attività di risanamento e altri servizi di gestione dei rifiuti,"Questa divisione include l'erogazione di servizi di risanamento, ossia la decontaminazione di edifici e siti contaminati, del suolo, delle acque superficiali e delle acque del sottosuolo.","# attività di risanamento e altri servizi di gestione dei rifiuti

Questa divisione include l'erogazione di servizi di risanamento, ossia la decontaminazione di edifici e siti contaminati, del suolo, delle acque superficiali e delle acque del sottosuolo.
",,,
