QUERY,CIRCE,SEMANTIC,OVERLAP
associazione dilettantistica corsa,['93.12.0'],"['93.19.9', '77.21.0', '94.99.2', '93.11.9', '85.59.9', '94.99.6', '85.51.0', '85.52.0', '93.12.0']",1
detersivi per scuola,['20.41.1'],"['47.78.6', '46.18.9', '81.29.9', '81.22.0', '85.51.0', '20.20.0', '81.29.1', '22.29.0', '46.44.3', '85.59.3']",0
docente di informatica,['85.59.2'],"['95.11.0', '47.41.0', '62.02.0', '85.59.2', '85.51.0', '85.52.0', '85.60.0', '74.10.2']",1
interventi finalizzati alla salvaguardia del ambiente,['43.39.0'],"['84.25.1', '81.30.0', '71.20.2', '39.00.0', '01.61.0', '94.99.6', '90.03.0', '02.20.0', '84.25.2', '09.10.0']",0
addetta al bancone,['90.03.0'],"['66.19.4', '28.23.0', '64.19.1', '64.19.4', '64.99.3', '26.20.0', '66.19.1', '56.10.4', '64.11.0', '96.09.0']",0
coltivazione di pioppi,['02.10.0'],"['01.21.0', '01.23.0', '01.11.2', '01.12.0', '01.30.0', '01.13.3', '01.26.0', '01.49.3', '01.19.1', '01.27.0']",0
commercio ambulante mobili,['47.89.0'],"['46.47.1', '64.99.1', '47.89.0', '47.81.0', '47.82.0', '56.10.4']",1
confezioni di articoli di abbigliamento,['14.13.1'],"['47.71.1', '14.20.0', '14.13.1', '14.13.2', '14.14.0', '14.19.1', '14.19.2', '14.11.0', '14.12.0', '13.92.1']",1
costruzione di elevatori meccanici,['28.22.0'],"['28.92.0', '30.12.0', '42.12.0', '30.30.0', '42.91.0', '43.91.0', '25.62.0', '25.91.0', '28.22.0', '42.21.0']",1
costruzione su beni propri,"['68.10.0', '68.20.0']","['30.12.0', '43.11.0', '43.99.0', '42.91.0', '43.91.0', '68.10.0', '98.10.0', '41.20.0', '68.20.0', '16.23.2']",1
affitto di ramo di azienda,['68.20.0'],"['96.03.0', '77.21.0', '77.39.9', '77.29.9', '77.32.0', '77.29.1', '24.44.0', '68.20.0', '77.31.0']",1
docente per la formazione,"['85.59.2', '85.41.0', '85.59.3', '85.32.0']","['82.19.0', '85.42.0', '85.59.9', '85.59.2', '85.51.0', '85.52.0', '84.12.2', '85.60.0', '85.59.3']",1
"commercio dettaglio articoli sportivi, da regalo e bigiotteria",['47.64.1'],"['47.71.1', '47.72.2', '47.71.3', '47.78.3', '47.77.0', '47.78.9', '47.64.1', '47.78.5', '47.72.1']",1
santi caterina e prospero,[],"['01.16.0', '87.20.0', '01.45.0', '47.11.2', '64.19.4', '46.38.3', '33.12.5', '33.11.0', '96.09.0']",0
agente di commercio utensileria,"['46.14.0', '46.15.0']","['46.14.0', '46.12.0', '66.22.0', '46.15.0', '47.89.0', '46.11.0', '46.18.2']",1
attivita di supporto produzione vegetale,['01.61.0'],"['01.16.0', '71.20.2', '01.61.0', '01.30.0', '09.10.0', '10.39.0', '02.40.0', '01.19.1', '01.27.0', '90.02.0']",1
altri servizi non classificati altrove,['n.c.   '],"['88.99.0', '81.29.9', '85.59.9', '53.20.0', '82.99.9', '63.99.0', '79.90.1', '74.90.9', '61.10.0', '96.09.0']",0
legna da ardere,['02.20.0'],"['84.25.1', '32.99.9', '94.99.6', '02.10.0', '02.20.0', '01.11.3', '05.20.0', '93.29.9', '01.15.0', '38.22.0']",1
vendita online oggetti handmade,['47.91.1'],"['47.52.1', '47.79.3', '45.11.0', '47.78.3', '45.19.0', '46.49.9', '47.91.1', '47.79.2']",1
altre attivita di consulenza manageriale,"['n.c.   ', '78.10.0']","['70.22.0', '82.99.9', '74.90.2', '63.99.0', '85.60.0', '58.19.0', '74.90.9', '74.10.9', '96.09.0']",0
distribuzione di prodotti saponi,['46.44.3'],"['20.42.0', '47.78.6', '46.18.9', '47.99.2', '46.45.0', '73.11.0', '35.13.0', '52.29.2', '46.44.3', '36.00.0']",1
commercio all ingrosso attrezzature,['46.69.9'],"['46.42.1', '46.52.0', '46.69.9', '47.52.1', '46.43.1', '46.66.0', '46.47.3', '46.69.3', '47.42.0', '46.69.1']",1
commercio dettaglio costruzione,['n.c.   '],"['46.73.2', '47.52.1', '47.41.0', '47.54.0', '47.78.3', '47.51.1', '47.26.0', '47.59.1', '47.59.5', '47.52.3']",0
commercio prodotti cura della persona,['20.42.0'],"['47.71.1', '46.46.3', '46.46.1', '73.11.0', '47.52.2', '47.73.1', '47.78.3', '47.29.3', '47.75.1']",0
business intelligence group,['73.20.0'],"['66.19.2', '80.30.0', '70.22.0', '62.02.0', '27.11.0', '82.99.9', '82.91.2', '94.11.0', '69.20.1', '46.19.0']",0
arte del giardino,['81.30.0'],"['95.22.0', '01.23.0', '47.76.1', '01.30.0', '01.19.2', '02.20.0', '85.52.0', '01.19.1', '46.22.0', '01.27.0']",0
museo percorsi guidati,['91.02.0'],"['88.99.0', '47.78.3', '93.21.0', '79.90.2', '85.51.0', '91.03.0', '85.52.0', '91.02.0', '43.12.0', '79.90.1']",1
attivita dei dottori commercialisti,['69.20.1'],"['86.90.3', '68.32.0', '46.12.0', '69.10.1', '69.10.2', '69.20.3', '64.99.3', '69.20.1']",1
servizi vari per manifestazioni e spettacoli,['79.90.1'],"['96.03.0', '43.29.0', '77.39.9', '90.02.0', '56.21.0', '93.29.9', '79.90.1', '43.21.0', '96.09.0']",1
riparazione a ntenne,['n.c.   '],"['95.11.0', '95.22.0', '95.29.0', '95.12.0', '33.12.1', '45.20.1', '33.12.5', '95.25.0']",0
stampaggio ad iniezione,['22.29.0'],"['25.73.1', '25.61.0', '95.11.0', '28.23.0', '18.11.0', '28.41.0', '26.20.0', '26.11.0', '20.30.0', '13.30.0']",0
gestione siti on line,"['63.11.3', '62.01.0', '74.10.2']","['93.11.2', '49.50.2', '52.21.3', '93.11.9', '01.61.0', '93.11.1', '92.00.0', '63.12.0', '93.13.0', '58.19.0']",0
consulenza su disposizioni arredamento,['73.11.0'],"['66.19.2', '73.11.0', '62.02.0', '95.29.0', '90.03.0', '74.90.2', '95.24.0', '68.31.0']",1
attivita mediche amministrative,['n.c.   '],"['86.23.0', '68.32.0', '84.21.0', '86.90.4', '84.22.0', '81.22.0', '84.25.2', '68.31.0', '69.20.1', '79.90.1']",0
impianti di estrusione,['24.42.0'],"['43.21.0', '06.20.0', '33.20.0', '30.11.0', '20.51.0', '27.90.0', '42.21.0', '22.21.0']",0
consulenza produzione video,['59.11.0'],"['59.11.0', '66.19.2', '73.11.0', '62.02.0', '26.40.0', '90.03.0', '74.90.2', '18.20.0', '74.90.9']",1
servizi alla vendita di beni,['46.19.0'],"['79.90.1', '47.79.3', '52.29.2', '53.20.0', '66.12.0', '68.31.0', '49.42.0', '64.99.1', '69.20.1', '74.90.9']",0
analisi dati intelligenza artificiale,['63.11.1'],"['63.11.1', '63.11.2', '80.30.0', '82.19.0', '18.13.0', '86.90.1', '71.20.1', '73.20.0', '63.12.0', '66.11.0']",1
altre attivita di design nca,['74.10.9'],"['93.19.9', '43.29.0', '43.99.0', '81.29.9', '94.99.9', '93.29.9', '74.90.9', '74.10.9', '96.09.0']",1
"commercio al dettaglio di prodotti vari, mediante l'intervento di un dimostratore o di un incaricato alla vendita porta a",['47.99.1'],"['47.11.5', '45.11.0', '47.91.2', '46.69.2', '47.89.0', '47.78.3', '47.99.1', '47.42.0', '47.91.1', '47.65.0']",1
impianti industria alimentare,['71.12.1'],"['27.51.0', '10.85.0', '33.20.0', '46.69.2', '28.93.0', '81.22.0', '26.60.0', '20.11.0']",0
assistenza  e manutenzione macchine enologiche,"['46.69.9', '28.93.0']","['33.12.6', '33.12.7', '33.12.1', '33.12.9', '33.12.5', '33.11.0']",0
produzione chimica base,"['20.14.0', '46.75.0', '20.59.9', '20.13.0']","['20.42.0', '21.10.0', '23.51.0', '19.20.4', '20.13.0', '20.59.9', '20.59.2', '20.53.0', '20.14.0', '10.89.0']",1
sistemi di riscaldamento,['28.21.2'],"['26.30.2', '46.43.1', '27.52.0', '28.25.0', '43.91.0', '46.74.2', '45.20.1', '96.04.2', '28.21.2']",1
servizi integrati di gestione agli edifici,['81.10.0'],"['63.11.1', '93.11.3', '52.21.2', '82.11.0', '71.12.2', '80.20.0', '01.61.0', '81.10.0', '79.90.1', '38.22.0']",1
consulente progetti comunicazione,['70.22.0'],"['66.19.2', '73.12.0', '73.11.0', '62.02.0', '69.20.3', '90.03.0', '70.21.0', '74.10.2']",0
lavorazione componenti in ottone,"['28.14.0', '27.40.0']","['30.91.2', '14.13.1', '26.70.1', '10.83.0', '25.11.0', '31.09.4', '22.29.0', '23.19.9', '14.19.1', '14.19.2']",0
part in legno diporto,['30.12.0'],"['33.15.0', '30.12.0', '46.14.0', '31.09.4', '16.29.1', '22.29.0', '46.69.1', '16.21.0', '16.23.2', '33.19.0']",1
prestazioni sanitarie paramediche tecniche,['86.90.2'],"['86.90.2', '82.11.0', '33.20.0', '87.10.0', '81.22.0', '86.22.0', '32.50.1', '74.90.9', '86.21.0']",1
disegno e vendita gioielli prodotti da terzi,['32.12.1'],"['46.48.0', '32.40.1', '74.10.1', '32.12.2', '32.12.1', '32.13.0', '02.40.0', '66.19.3', '95.25.0', '96.09.0']",1
gestione poliambulatorio di logopedia,"['86.22.0', '86.90.2']","['19.10.0', '93.11.3', '93.11.2', '55.90.1', '52.21.5', '52.21.3', '52.10.2', '93.11.1', '93.13.0', '49.50.1']",0
produzione e miscelazione bitume modificato,['23.99.0'],"['23.99.0', '23.51.0', '20.59.4', '20.59.3', '30.92.1', '20.17.0', '19.20.4', '26.51.2', '10.61.4', '20.60.0']",1
commercio all'ingrosso di frutta secca,['46.31.2'],"['46.21.1', '46.21.2', '46.34.1', '46.31.2', '46.34.2', '46.38.1', '47.21.0', '46.31.1', '46.35.0']",1
produzione di caffe,['10.83.0'],"['10.82.0', '11.05.0', '46.37.0', '10.81.0', '10.85.0', '10.11.0', '10.83.0', '28.93.0', '10.51.2', '10.71.2']",1
porte tagliafuoco e maniglioni,['25.12.1'],"['46.73.2', '43.29.0', '47.78.3', '43.32.0', '28.22.0', '16.10.0', '27.90.0', '33.11.0', '25.12.1']",1
"metallurgia , lavorazione lamiere",['25.50.0'],"['25.61.0', '24.41.0', '28.91.0', '25.99.9', '25.11.0', '33.12.9', '25.99.3', '24.10.0', '25.50.0', '33.11.0']",1
attivita' tecniche svolte da geometri,['71.12.3'],"['86.90.3', '71.12.3', '74.10.9', '94.12.2', '71.11.0', '71.12.1', '74.10.3', '74.90.9', '74.10.2']",1
altre attivita trasporto terreste,['52.22.0'],"['52.24.4', '45.20.9', '77.39.1', '52.22.0', '39.00.0', '74.10.9', '49.39.0', '74.20.1', '58.19.0', '52.21.9']",1
direzione didattica   circolo domodossola,['84.12.2'],"['88.99.0', '85.53.0', '85.31.1', '64.92.0', '85.51.0', '85.52.0', '85.60.0', '33.11.0']",0
progetti di ricerca in ambito educativo,['72.11.0'],"['85.59.3', '78.10.0', '85.51.0', '72.11.0', '92.00.0', '85.60.0', '84.12.2', '72.19.0', '72.20.0']",1
associazioni di volontariato,['94.99.5'],"['94.99.1', '94.92.0', '94.99.4', '94.99.2', '94.12.2', '94.99.6', '94.99.9', '94.11.0', '94.99.3', '94.99.5']",1
attiviti produzione e consulenza nel campo della cultura,['88.99.0'],"['59.11.0', '84.12.4', '84.21.0', '93.19.1', '69.10.1', '70.22.0', '01.61.0', '90.01.0', '74.90.9', '90.02.0']",0
produzione pasta frescaa,['10.73.0'],"['10.81.0', '10.85.0', '28.95.0', '10.11.0', '10.73.0', '17.11.0', '10.32.0', '10.71.2', '10.31.0']",1
consulenze non altrove classificate,['n.c.   '],"['88.99.0', '47.73.2', '46.90.0', '85.59.9', '64.92.0', '82.99.9', '74.90.2', '79.90.1', '74.90.9', '96.09.0']",0
produzione artigianale cappelli,['14.19.1'],"['32.20.0', '14.20.0', '10.11.0', '27.40.0', '32.40.2', '13.99.9', '32.99.3', '14.19.1', '17.12.0', '27.90.0']",1
installatori a bordo di navi da crociera,"['50.10.0', '30.11.0']","['33.15.0', '30.12.0', '45.20.3', '43.29.0', '33.20.0', '38.31.2', '43.21.0', '30.11.0']",1
altre attivita' profess,['n.c.   '],"['93.19.9', '94.12.2', '74.20.1', '74.10.2', '74.90.2', '85.60.0', '58.19.0', '74.90.9', '74.10.9', '90.02.0']",0
associazione del terzo settore,['n.c.   '],"['66.19.3', '94.99.2', '94.12.2', '94.99.6', '82.99.9', '94.99.9', '02.40.0', '70.21.0', '94.11.0', '68.31.0']",0
societa d     igegneria,"['41.20.0', 'n.c.   ']","['25.73.1', '71.12.2', '42.91.0', '30.92.1', '71.12.1', '28.12.0', '26.52.0', '47.11.1', '12.00.0', '52.21.1']",0
altre attivita di installazione,['n.c.   '],"['45.20.9', '43.29.0', '81.29.9', '33.20.0', '74.20.1', '81.22.0', '58.19.0', '43.21.0', '74.10.9']",0
scuola elementare privata,['85.20.0'],"['85.20.0', '80.30.0', '85.53.0', '85.10.0', '85.31.1', '85.51.0', '85.52.0', '85.60.0', '80.10.0', '85.59.3']",1
commercio all     ingrosso di prodotti,['46.90.0'],"['46.42.1', '46.38.9', '46.73.2', '46.76.3', '46.43.1', '46.46.1', '46.75.0', '46.35.0', '46.41.1']",0
consulenza su lavori edili,"['43.39.0', '41.20.0']","['66.19.2', '74.90.3', '69.10.1', '62.02.0', '71.11.0', '43.91.0', '90.03.0', '74.90.2']",0
produzione e fabbricazione di articoli di cartoleria e per uffici,"['47.62.2', '46.49.1']","['17.23.0', '17.21.0', '47.62.2', '32.99.3', '25.71.0', '17.29.0', '46.49.1', '28.95.0', '17.12.0', '31.01.1']",1
"riparazione e manutenzione di computer e periferiche, progettazione di sistemi informatici e consulenza in genere su software e hardware, recupero di dati da computer danneggiati",['62.09.0'],"['95.11.0', '95.22.0', '71.12.2', '45.20.2', '62.02.0', '95.12.0', '33.13.0', '33.12.5', '33.11.0']",0
cosulenza alle imprese,['70.22.0'],"['82.99.1', '82.19.0', '73.11.0', '70.22.0', '64.92.0', '82.99.9', '74.90.2', '02.40.0', '68.20.0']",1
procacciatura d     affari prodotti energetici,['71.20.2'],"['66.19.2', '46.18.9', '46.16.0', '46.12.0', '46.13.0', '46.15.0', '46.17.0', '46.18.3', '46.18.2', '46.18.1']",0
entrate ai musei,['91.02.0'],"['63.11.1', '46.73.2', '47.78.3', '64.19.1', '47.19.1', '56.29.1', '91.03.0', '85.52.0', '91.02.0', '43.12.0']",1
vendita dettaglio accessori abbigliamento,['47.71.5'],"['46.42.1', '47.71.1', '45.32.0', '47.79.3', '47.78.3', '47.51.1', '47.71.5', '47.64.2', '47.72.1']",1
attivita di orientamento e collocamento lavorativo,['78.10.0'],"['66.19.2', '88.99.0', '69.10.1', '78.10.0', '90.03.0', '09.10.0', '68.31.0', '64.99.1', '79.90.1', '74.90.9']",1
vendita  ingrosso software,['46.51.0'],"['46.73.2', '46.69.9', '47.41.0', '46.66.0', '46.51.0', '46.74.1', '46.69.2', '46.65.0', '46.73.3', '46.41.1']",1
commercio al dettaglio di cialde,['47.99.1'],"['47.52.1', '47.11.5', '47.78.3', '47.51.1', '47.59.3', '47.52.4', '47.26.0', '47.52.3', '47.25.0']",0
commercio all'ingrosso di caff,['46.37.0'],"['46.73.2', '46.37.0', '46.76.3', '46.34.1', '47.29.2', '46.35.0', '46.33.1', '47.25.0']",1
fabbrica tende da sole,['25.12.2'],"['25.73.1', '43.91.0', '27.11.0', '27.40.0', '47.53.1', '25.12.2', '27.90.0', '26.11.0', '13.92.1', '32.99.1']",1
azienda agricola vendita e degustazione di prodotti,['46.31.1'],"['10.92.0', '46.14.0', '73.11.0', '23.41.0', '01.61.0', '56.10.1', '47.52.4', '10.32.0', '77.31.0', '01.27.0']",0
produzione di stampi in gesso,['23.69.0'],"['25.73.1', '25.73.2', '24.43.0', '28.94.1', '23.62.0', '28.41.0', '23.52.2', '26.20.0', '26.11.0', '20.30.0']",0
affitto sala feste,['n.c.   '],"['96.03.0', '77.21.0', '77.39.9', '90.02.0', '77.29.1', '56.21.0', '93.29.9', '68.20.0', '43.21.0', '96.09.0']",0
finalita di culto,['94.91.0'],"['93.19.9', '96.03.0', '94.99.2', '94.91.0', '35.14.0', '85.59.9', '70.21.0', '01.27.0', '36.00.0', '01.63.0']",1
servizi ai condomini,['97.00.0'],"['68.32.0', '82.11.0', '80.20.0', '53.20.0', '81.29.1', '81.10.0', '49.42.0', '75.00.0', '79.90.1', '97.00.0']",1
rilievi e progettazione,['n.c.   '],"['25.61.0', '71.12.3', '42.12.0', '43.33.0', '73.11.0', '43.13.0', '43.91.0', '82.30.0', '30.11.0', '42.13.0']",0
attivita di gestione patrimoniale in partita iva con l     affiancamento di una banca  consulenti finanziari,['69.20.1'],"['66.19.2', '88.99.0', '69.10.1', '70.22.0', '68.31.0', '66.19.1', '69.20.1']",1
studi di fattibilita,['n.c.   '],"['73.11.0', '30.30.0', '71.20.1', '69.10.1', '71.11.0', '43.91.0', '71.12.1', '78.10.0', '41.10.0', '72.19.0']",0
riparazione e manutenzione di condizionatori caldaie,"['33.12.2', '43.22.0']","['45.20.3', '95.11.0', '95.22.0', '33.14.0', '33.12.1', '45.20.1', '33.12.4', '33.12.5', '33.12.2', '33.11.0']",1
formatore educatore olistico,['96.04.1'],"['86.23.0', '85.59.9', '85.59.2', '85.51.0', '01.26.0', '85.52.0', '84.12.2', '85.60.0', '96.02.0']",0
costruzione e manutenzione impianti industriali siderurgia oil gas petrolchimico,['28.29.2'],"['19.20.2', '43.22.0', '28.29.2', '25.11.0', '20.41.2', '30.11.0', '33.12.9', '24.10.0', '33.12.5', '20.11.0']",1
corsi di produzione,"['85.51.0', '85.52.0', '85.59.9', '85.59.2']","['32.20.0', '28.99.9', '23.91.0', '85.59.9', '85.59.2', '85.51.0', '85.52.0', '20.53.0', '26.11.0']",1
consorzio per la pubblica lettura,['n.c.   '],"['91.01.0', '82.99.2', '58.11.0', '95.29.0', '85.59.9', '64.92.0', '82.99.9', '70.21.0', '58.19.0', '47.79.1']",0
centro elaborazione dati,['63.11.1'],"['63.11.1', '87.20.0', '63.11.2', '82.19.0', '86.90.1', '87.10.0', '86.22.0', '26.20.0', '38.12.0']",1
educazione istruzione formazione professionale,"['85.59.2', '85.32.0']","['85.20.0', '85.42.0', '85.59.9', '85.59.2', '85.51.0', '84.12.2', '85.60.0', '85.41.0', '85.32.0']",1
studi di registrazione,['59.20.3'],"['32.20.0', '86.90.1', '69.10.1', '71.11.0', '95.29.0', '59.20.3', '26.40.0', '74.20.2', '18.20.0', '59.20.1']",1
commercio all'ingrosso di nfrutta,"['46.90.0', '46.69.9', '46.39.2']","['46.42.1', '46.73.2', '46.21.2', '46.76.3', '46.31.2', '47.21.0', '46.31.1', '46.69.1', '46.35.0']",0
procacciattore d     affari,['84.21.0'],"['46.18.9', '46.16.0', '66.19.2', '46.14.0', '46.12.0', '46.13.0', '46.15.0', '46.17.0', '46.18.3', '46.18.1']",0
costruzione e manutenzione impianti industriali siderurgia petrolchimico,['28.29.2'],"['19.20.2', '20.11.0', '28.29.2', '25.11.0', '30.11.0', '33.12.9', '24.10.0', '33.12.5', '33.11.0', '20.41.2']",1
associazione culturale e turistica del territorio,['94.99.2'],"['84.12.4', '79.12.0', '94.12.2', '94.99.2', '79.90.2', '94.99.6', '70.21.0', '94.11.0', '79.90.1', '55.20.1']",1
commercio pezzi di ricambio,['46.69.9'],"['25.73.1', '46.52.0', '46.73.2', '45.32.0', '45.31.0', '47.54.0', '47.79.3', '33.12.9', '45.40.2', '47.79.2']",0
consulenza informatica su sistemi gis,['62.02.0'],"['66.19.2', '74.90.3', '70.22.0', '62.02.0', '85.59.2', '74.90.2', '81.10.0', '74.90.9']",1
comune di branzi,['84.11.1'],"['46.21.2', '01.45.0', '46.73.1', '64.19.1', '01.49.9', '85.52.0', '10.51.2', '20.14.0', '42.21.0', '96.09.0']",0
organizzazione di eventi privati  feste  cerimonie  matrimoni,['96.09.0'],"['96.09.0', '80.30.0', '93.19.1', '14.13.2', '82.30.0', '77.39.9', '56.21.0', '93.29.9', '80.10.0', '90.02.0']",1
commercio all     ingrosso di abbigliamento e accessori,['46.42.1'],"['46.42.1', '47.71.1', '46.42.4', '46.46.3', '46.43.1', '46.45.0', '47.79.3', '45.31.0', '46.41.1', '47.72.1']",1
commercio ricambi motocicli,['45.40.2'],"['30.91.1', '45.32.0', '30.91.2', '45.31.0', '45.40.1', '47.64.1', '45.40.2']",1
montaggio tettoie in legno,['25.11.0'],"['16.24.0', '43.91.0', '33.20.0', '02.20.0', '41.20.0', '16.10.0', '16.21.0', '43.21.0', '16.23.2', '33.19.0']",0
fabbricazione stampi sagome per incisione,['25.73.2'],"['25.73.1', '25.73.2', '24.41.0', '24.43.0', '28.94.1', '28.23.0', '26.11.0', '17.29.0', '26.20.0', '33.11.0']",1
vendor inspection  expediting,['52.29.1'],"['46.52.0', '46.73.2', '71.20.2', '73.11.0', '95.29.0', '85.59.9', '33.12.1', '69.20.2', '82.99.4', '33.19.0']",0
commercio al dettaglio prodotti per estetisti,['96.02.0'],"['47.71.1', '47.78.6', '47.52.1', '47.52.2', '47.73.1', '47.78.3', '47.59.3', '47.51.1', '47.29.3']",0
manutenzione macchine da ufficio,['33.12.5'],"['95.11.0', '33.12.7', '81.22.0', '33.12.1', '33.12.9', '33.12.5', '33.11.0']",1
"la fornitura dei servizi nei settori contabilitamministrazione, finanza, gestione delle risorse umane, informatica, organizzazione tecnica e della produzione",['78.30.0'],"['82.11.0', '71.12.2', '70.22.0', '82.30.0', '71.12.1', '62.03.0', '81.10.0', '69.20.1']",0
"commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulic",['47.52.1'],"['47.59.2', '47.52.1', '47.59.9', '47.54.0', '47.78.3', '47.52.4', '47.64.1', '47.78.5', '46.74.2', '47.52.3']",1
coltivazione di uliveti,['01.26.0'],"['01.21.0', '01.16.0', '01.29.0', '01.23.0', '01.11.2', '03.21.0', '01.26.0', '01.15.0', '01.19.1', '01.27.0']",1
costruzione impianti di depurazione,['42.21.0'],"['28.29.9', '30.12.0', '43.22.0', '27.52.0', '43.99.0', '42.91.0', '38.11.0', '36.00.0', '42.21.0', '37.00.0']",1
vendita attrezzature scientifiche,['46.18.9'],"['46.52.0', '46.69.9', '47.52.1', '47.78.2', '26.70.2', '46.69.2', '46.49.9', '47.42.0', '46.69.1']",0
altre attivita' di costruzione di altre opere di ingegneria esclusi edifici,['42.99.0'],"['43.39.0', '43.99.0', '43.29.0', '16.29.1', '41.20.0', '46.18.3', '42.99.0', '97.00.0', '16.23.2']",1
commercio vari prodotti al dettaglio online,['47.91.1'],"['47.71.1', '47.41.0', '47.76.1', '47.78.3', '47.51.1', '47.29.3', '47.91.1', '47.79.2']",1
commercio al dettaglio acessori per macchina da caffe,"['46.69.9', '47.29.2', '33.12.9', '47.59.4']","['46.37.0', '46.69.9', '47.52.1', '47.41.0', '47.54.0', '46.66.0', '47.29.2', '47.78.1', '47.42.0', '47.59.4']",1
vendita spazi web siti,"['62.01.0', '74.10.2']","['96.03.0', '73.12.0', '52.29.2', '45.11.0', '45.19.0', '92.00.0', '63.12.0', '47.91.1', '74.90.9']",0
attivita di ricerca  regolamentazione e tutela ambientale,['84.12.3'],"['84.12.3', '71.20.2', '69.10.1', '72.19.0', '94.99.6', '90.03.0', '84.13.2', '84.12.2', '71.12.5', '26.51.2']",1
promozione organizzazione e attuazione di iniziative volte alla tutela della proprietntellettuale ed industriale atte a combattere la violazione di tali diritti e al contrasto del fenomeno della contraffazione,['35.11.0'],"['94.99.1', '93.19.1', '71.20.2', '73.11.0', '69.10.1', '73.20.0', '82.30.0', '66.19.1', '94.11.0', '77.40.0']",0
ricerca scientifica medica,['72.19.0'],"['46.46.1', '86.90.1', '21.20.0', '72.19.0', '86.10.3', '72.11.0', '46.18.3', '74.90.9', '72.20.0']",1
commercio ingrosso articoli pellami,"['46.49.5', '46.90.0', '46.24.1']","['46.42.1', '47.71.1', '47.72.2', '46.73.2', '47.71.4', '47.78.3', '47.51.1', '46.42.2', '46.49.5', '46.41.1']",1
consulenza commerciale prodotti cani,['47.76.2'],"['10.92.0', '66.19.2', '46.38.9', '73.11.0', '70.22.0', '46.23.0', '47.52.4', '75.00.0', '47.76.2']",1
corsi on line  formazione  eventi online e di presenza su coaching  mentoring e consulenza,['85.59.2'],"['74.90.3', '85.42.0', '70.22.0', '62.02.0', '85.59.2', '62.03.0', '85.60.0', '58.19.0']",1
commercioall     ingrossodi macchinari per l     estrazione  l     edilizia e l     ingegneria civile,['46.63.0'],"['46.64.0', '46.73.2', '46.69.9', '46.66.0', '46.69.2', '46.62.0', '47.52.4', '33.12.9', '46.63.0']",1
